symbol,tf,horizon_bars,band,n,mean_bps,excess_bps,base_bps,median_bps,hit_up,share
SOLUSDT,15m,4,0.1..0.4,11106,-0.34,-1.811,1.471,-1.563,0.4838,0.0524
SOLUSDT,15m,4,0.4..0.8,19162,2.362,0.892,1.471,1.221,0.5039,0.0904
SOLUSDT,15m,4,>=0.8,75182,1.997,0.527,1.471,-2.698,0.4805,0.3546
SOLUSDT,15m,16,<=-0.8,58760,8.996,3.368,5.628,9.425,0.5258,0.2772
SOLUSDT,15m,16,-0.8..-0.4,28098,-2.738,-8.365,5.628,-3.101,0.4886,0.1325
SOLUSDT,15m,16,-0.4..-0.1,12672,-3.43,-9.057,5.628,-4.729,0.4832,0.0598
SOLUSDT,15m,16,flat,7009,3.033,-2.594,5.628,0.42,0.5001,0.0331
SOLUSDT,15m,16,0.1..0.4,11106,5.219,-0.409,5.628,-2.134,0.4888,0.0524
SOLUSDT,15m,16,0.4..0.8,19161,8.227,2.599,5.628,0.0,0.4941,0.0904
SOLUSDT,15m,16,>=0.8,75181,7.288,1.661,5.628,-5.817,0.481,0.3546
SOLUSDT,1h,1,<=-0.8,15158,0.176,-1.282,1.459,1.708,0.5062,0.2871
SOLUSDT,1h,1,-0.8..-0.4,6379,1.617,0.159,1.459,0.0,0.4985,0.1208
SOLUSDT,1h,1,-0.4..-0.1,3056,-0.747,-2.205,1.459,0.0,0.4957,0.0579
SOLUSDT,1h,1,flat,1789,-0.216,-1.675,1.459,-2.385,0.4746,0.0339
SOLUSDT,1h,1,0.1..0.4,2613,0.181,-1.278,1.459,0.0,0.4983,0.0495
SOLUSDT,1h,1,0.4..0.8,4874,2.097,0.639,1.459,1.281,0.5041,0.0923
SOLUSDT,1h,1,>=0.8,18925,2.958,1.5,1.459,0.0,0.4924,0.3585
SOLUSDT,1h,4,<=-0.8,15158,0.555,-5.154,5.709,4.519,0.5096,0.2871
SOLUSDT,1h,4,-0.8..-0.4,6378,6.886,1.178,5.709,1.99,0.5039,0.1208
SOLUSDT,1h,4,-0.4..-0.1,3055,-1.44,-7.149,5.709,-2.312,0.4877,0.0579
SOLUSDT,1h,4,flat,1788,2.318,-3.391,5.709,-9.927,0.4737,0.0339
SOLUSDT,1h,4,0.1..0.4,2613,3.936,-1.773,5.709,0.0,0.499,0.0495
SOLUSDT,1h,4,0.4..0.8,4874,4.322,-1.387,5.709,1.579,0.5025,0.0923
SOLUSDT,1h,4,>=0.8,18925,11.516,5.808,5.709,-4.64,0.4848,0.3585
SOLUSDT,1h,16,<=-0.8,15158,11.542,-10.996,22.538,4.885,0.5053,0.2872
SOLUSDT,1h,16,-0.8..-0.4,6373,17.723,-4.815,22.538,2.134,0.5021,0.1207
SOLUSDT,1h,16,-0.4..-0.1,3049,-1.741,-24.279,22.538,-17.138,0.4825,0.0578
SOLUSDT,1h,16,flat,1787,33.203,10.665,22.538,-1.173,0.4975,0.0339
SOLUSDT,1h,16,0.1..0.4,2613,31.053,8.515,22.538,-1.171,0.4967,0.0495
SOLUSDT,1h,16,0.4..0.8,4874,28.22,5.682,22.538,-1.165,0.4969,0.0923
SOLUSDT,1h,16,>=0.8,18925,33.233,10.695,22.538,-13.516,0.4809,0.3586
SOLUSDT,4h,1,<=-0.8,3699,-1.936,-7.551,5.615,1.584,0.5031,0.2847
SOLUSDT,4h,1,-0.8..-0.4,1530,-0.891,-6.506,5.615,-10.363,0.4673,0.1177
SOLUSDT,4h,1,-0.4..-0.1,801,7.488,1.873,5.615,6.902,0.5169,0.0616
SOLUSDT,4h,1,flat,498,10.595,4.98,5.615,7.077,0.508,0.0383
SOLUSDT,4h,1,0.1..0.4,618,18.41,12.795,5.615,5.314,0.5146,0.0476
SOLUSDT,4h,1,0.4..0.8,1123,2.159,-3.456,5.615,0.0,0.4942,0.0864
SOLUSDT,4h,1,>=0.8,4725,11.939,6.324,5.615,0.0,0.4995,0.3636
SOLUSDT,4h,4,<=-0.8,3699,-12.128,-34.213,22.085,-4.827,0.4918,0.2847
SOLUSDT,4h,4,-0.8..-0.4,1530,14.665,-7.42,22.085,-10.152,0.483,0.1178
SOLUSDT,4h,4,-0.4..-0.1,801,17.738,-4.347,22.085,-12.041,0.4806,0.0617
SOLUSDT,4h,4,flat,498,61.692,39.607,22.085,38.22,0.5743,0.0383
SOLUSDT,4h,4,0.1..0.4,618,48.099,26.014,22.085,6.998,0.5049,0.0476
SOLUSDT,4h,4,0.4..0.8,1120,5.502,-16.583,22.085,-2.797,0.4946,0.0862
SOLUSDT,4h,4,>=0.8,4725,48.363,26.278,22.085,-3.193,0.4948,0.3637
