mode,entry_thr,require_flip,squeeze_n,min_strength,trail_mode,trail_k,stop_k,trail_start_r,rr,max_hold_bars,flip_exit,dir_mode,min_risk_bps,kernel_trades,stream_trades,kernel_R,stream_R,matched,kernel_only,stream_only,entry_match,exit_bar_match,max_r_diff,tf
0,1.0,0,0.0,0.0,1,1.0,1.0,1.0,0.0,42,0,0,3.0,764,764,43.394,43.394,764,0,0,1.0,1.0,0.0,4h
0,1.0,0,0.0,0.0,1,1.0,1.0,2.0,0.0,42,0,0,3.0,603,603,64.115,64.115,603,0,0,1.0,1.0,0.0,4h
0,1.0,0,0.0,0.0,1,1.0,1.0,0.0,2.0,42,0,0,3.0,1033,1033,-3.315,-3.315,1033,0,0,1.0,1.0,0.0,4h
0,1.0,0,0.0,0.0,1,1.0,1.0,1.0,2.0,42,0,0,3.0,873,873,-8.623,-8.623,873,0,0,1.0,1.0,0.0,4h
0,1.0,0,0.0,0.0,1,1.0,1.0,2.0,2.0,42,0,0,3.0,729,729,5.485,5.485,729,0,0,1.0,1.0,0.0,4h
0,1.0,1,0.0,0.0,0,1.0,1.0,0.0,0.0,42,0,0,3.0,115,115,25.562,25.562,115,0,0,1.0,1.0,0.0,4h
0,1.0,1,0.0,0.0,0,1.0,1.0,1.0,0.0,42,0,0,3.0,114,114,15.754,15.754,114,0,0,1.0,1.0,0.0,4h
0,1.0,1,0.0,0.0,0,1.0,1.0,2.0,0.0,42,0,0,3.0,113,113,10.951,10.951,113,0,0,1.0,1.0,0.0,4h
0,1.0,1,0.0,0.0,0,1.0,1.0,0.0,2.0,42,0,0,3.0,115,115,16.512,16.512,115,0,0,1.0,1.0,0.0,4h
0,1.0,1,0.0,0.0,0,1.0,1.0,1.0,2.0,42,0,0,3.0,114,114,6.07,6.07,114,0,0,1.0,1.0,0.0,4h
0,1.0,1,0.0,0.0,0,1.0,1.0,2.0,2.0,42,0,0,3.0,114,114,-1.163,-1.163,114,0,0,1.0,1.0,0.0,4h
0,1.0,1,0.0,0.0,1,1.0,1.0,0.0,0.0,42,0,0,3.0,115,115,27.173,27.173,115,0,0,1.0,1.0,0.0,4h
0,1.0,1,0.0,0.0,1,1.0,1.0,1.0,0.0,42,0,0,3.0,114,114,16.552,16.552,114,0,0,1.0,1.0,0.0,4h
0,1.0,1,0.0,0.0,1,1.0,1.0,2.0,0.0,42,0,0,3.0,113,113,12.421,12.421,113,0,0,1.0,1.0,0.0,4h
0,1.0,1,0.0,0.0,1,1.0,1.0,0.0,2.0,42,0,0,3.0,115,115,16.606,16.606,115,0,0,1.0,1.0,0.0,4h
0,1.0,1,0.0,0.0,1,1.0,1.0,1.0,2.0,42,0,0,3.0,114,114,5.587,5.587,114,0,0,1.0,1.0,0.0,4h
0,1.0,1,0.0,0.0,1,1.0,1.0,2.0,2.0,42,0,0,3.0,114,114,-1.163,-1.163,114,0,0,1.0,1.0,0.0,4h
2,0.8,0,10.0,0.0,0,1.5,1.5,0.0,0.0,42,0,0,3.0,2,2,-0.84,-0.84,2,0,0,1.0,1.0,0.0,4h
2,0.8,0,10.0,0.0,1,1.5,1.5,0.0,0.0,42,0,0,3.0,2,2,-0.844,-0.844,2,0,0,1.0,1.0,0.0,4h
0,0.8,1,0.0,0.0,1,8.0,2.0,0.0,0.0,0,1,0,3.0,86,86,22.53,22.53,86,0,0,1.0,1.0,0.0,4h
