symbol,signal,look,win,q,band,hold,contrarian,trades,tpd,avg_bps,win_rate,pf_0x,tot_0x,pf_1x,tot_1x,pf_2x,tot_2x,pf_3x,tot_3x
BTCUSDT,dcrowd,48,288,0.02,2016,576,True,589,0.269,42.13,0.5229,1.2968,24816.0,1.1891,16570.0,1.0907,8324.0,1.0008,78.0
BTCUSDT,dcrowd,48,288,0.02,2016,576,False,589,0.269,-42.13,0.4771,0.7711,-24816.0,0.7071,-33062.0,0.6483,-41308.0,0.5945,-49554.0
BTCUSDT,dcrowd,48,288,0.02,2016,864,True,468,0.214,30.55,0.5043,1.1719,14297.7,1.0896,7745.7,1.0133,1193.7,0.9426,-5358.3
BTCUSDT,dcrowd,48,288,0.02,2016,864,False,468,0.214,-30.55,0.4957,0.8533,-14297.7,0.7932,-20849.7,0.7372,-27401.7,0.685,-33953.7
BTCUSDT,dcrowd,48,288,0.02,8640,96,True,1076,0.491,22.41,0.5344,1.3605,24116.3,1.1216,9052.3,0.9273,-6011.7,0.77,-21075.7
BTCUSDT,dcrowd,48,288,0.02,8640,96,False,1076,0.491,-22.41,0.4656,0.735,-24116.3,0.6058,-39180.3,0.4996,-54244.3,0.4129,-69308.3
BTCUSDT,dcrowd,48,288,0.02,8640,144,True,964,0.44,18.39,0.5197,1.2418,17728.1,1.0529,4232.1,0.8939,-9263.9,0.7607,-22759.9
BTCUSDT,dcrowd,48,288,0.02,8640,144,False,964,0.44,-18.39,0.4803,0.8053,-17728.1,0.6826,-31224.1,0.5792,-44720.1,0.4925,-58216.1
BTCUSDT,dcrowd,48,288,0.02,8640,288,True,773,0.353,27.33,0.5201,1.2579,21122.7,1.1181,10300.7,0.9944,-521.3,0.8852,-11343.3
BTCUSDT,dcrowd,48,288,0.02,8640,288,False,773,0.353,-27.33,0.4799,0.795,-21122.7,0.7065,-31944.7,0.628,-42766.7,0.5584,-53588.7
BTCUSDT,dcrowd,48,288,0.02,8640,576,True,548,0.25,31.73,0.5292,1.2116,17387.6,1.1131,9715.6,1.0228,2043.6,0.9399,-5628.4
BTCUSDT,dcrowd,48,288,0.02,8640,576,False,548,0.25,-31.73,0.4708,0.8254,-17387.6,0.7583,-25059.6,0.6968,-32731.6,0.6406,-40403.6
BTCUSDT,dcrowd,48,288,0.02,8640,864,True,446,0.204,19.49,0.5,1.106,8690.6,1.0287,2446.6,0.957,-3797.4,0.8905,-10041.4
BTCUSDT,dcrowd,48,288,0.02,8640,864,False,446,0.204,-19.49,0.5,0.9041,-8690.6,0.8408,-14934.6,0.7819,-21178.6,0.7271,-27422.6
BTCUSDT,dcrowd,48,288,0.05,2016,96,True,2200,1.005,16.46,0.525,1.2817,36219.5,1.0376,5419.5,0.8424,-25380.5,0.6872,-56180.5
BTCUSDT,dcrowd,48,288,0.05,2016,96,False,2200,1.005,-16.46,0.475,0.7802,-36219.5,0.6316,-67019.5,0.5125,-97819.5,0.418,-128619.5
BTCUSDT,dcrowd,48,288,0.05,2016,144,True,1838,0.839,21.64,0.5381,1.3146,39775.0,1.1011,14043.0,0.9234,-11689.0,0.7762,-37421.0
