symbol,seed,signal,look,win,q,band,hold,contrarian,trades,tpd,avg_bps,win_rate,pf_0x,tot_0x,pf_1x,tot_1x,pf_2x,tot_2x,pf_3x,tot_3x
BTCUSDT,0,dcrowd,12,288,0.05,8640,144,True,2513,1.147,-0.91,0.4986,0.9873,-2276.9,0.8111,-37458.9,0.6673,-72640.9,0.5505,-107822.9
BTCUSDT,0,dcrowd,12,288,0.05,8640,144,False,2513,1.147,0.91,0.5014,1.0128,2276.9,0.8321,-32905.1,0.685,-68087.1,0.5659,-103269.1
BTCUSDT,0,dcrowd,12,288,0.05,8640,288,True,1538,0.702,1.45,0.5052,1.0138,2237.3,0.8883,-19294.7,0.7785,-40826.7,0.6829,-62358.7
BTCUSDT,0,dcrowd,12,288,0.05,8640,288,False,1538,0.702,-1.45,0.4948,0.9864,-2237.3,0.8644,-23769.3,0.758,-45301.3,0.6656,-66833.3
BTCUSDT,0,dcrowd,12,288,0.05,8640,576,True,901,0.411,10.23,0.5039,1.0708,9216.8,0.9751,-3397.2,0.8882,-16011.2,0.8094,-28625.2
BTCUSDT,0,dcrowd,12,288,0.05,8640,576,False,901,0.411,-10.23,0.4961,0.9339,-9216.8,0.8504,-21830.8,0.7745,-34444.8,0.7054,-47058.8
BTCUSDT,0,dcrowd,12,288,0.05,8640,864,True,638,0.291,1.39,0.4984,1.0074,888.2,0.9354,-8043.8,0.8686,-16975.8,0.8066,-25907.8
BTCUSDT,0,dcrowd,12,288,0.05,8640,864,False,638,0.291,-1.39,0.5016,0.9927,-888.2,0.9217,-9820.2,0.856,-18752.2,0.7951,-27684.2
BTCUSDT,1,dcrowd,12,288,0.05,8640,96,True,3188,1.456,-3.44,0.4912,0.9403,-10960.8,0.7326,-55592.8,0.5736,-100224.8,0.4525,-144856.8
BTCUSDT,1,dcrowd,12,288,0.05,8640,96,False,3188,1.456,3.44,0.5085,1.0634,10960.8,0.8285,-33671.2,0.6478,-78303.2,0.5096,-122935.2
BTCUSDT,1,dcrowd,12,288,0.05,8640,144,True,2495,1.139,5.65,0.4978,1.0815,14103.9,0.8912,-20826.1,0.7364,-55756.1,0.6109,-90686.1
BTCUSDT,1,dcrowd,12,288,0.05,8640,144,False,2495,1.139,-5.65,0.5014,0.9247,-14103.9,0.7615,-49033.9,0.6281,-83963.9,0.5192,-118893.9
BTCUSDT,1,dcrowd,12,288,0.05,8640,288,True,1557,0.711,3.18,0.4958,1.0312,4954.5,0.901,-16843.5,0.7879,-38641.5,0.6899,-60439.5
BTCUSDT,1,dcrowd,12,288,0.05,8640,288,False,1557,0.711,-3.18,0.5042,0.9697,-4954.5,0.847,-26752.5,0.74,-48550.5,0.6472,-70348.5
BTCUSDT,1,dcrowd,12,288,0.05,8640,576,True,896,0.409,3.22,0.49,1.0222,2887.2,0.9293,-9656.8,0.8451,-22200.8,0.7689,-34744.8
BTCUSDT,1,dcrowd,12,288,0.05,8640,576,False,896,0.409,-3.22,0.51,0.9783,-2887.2,0.8891,-15431.2,0.8081,-27975.2,0.7345,-40519.2
BTCUSDT,1,dcrowd,12,288,0.05,8640,864,True,636,0.29,31.3,0.5236,1.1806,19907.9,1.096,11003.9,1.0176,2099.9,0.945,-6804.1
BTCUSDT,1,dcrowd,12,288,0.05,8640,864,False,636,0.29,-31.3,0.4764,0.847,-19907.9,0.7865,-28811.9,0.7305,-37715.9,0.6787,-46619.9
BTCUSDT,2,dcrowd,12,288,0.05,8640,96,True,3220,1.47,2.92,0.5062,1.0538,9389.4,0.8201,-35690.6,0.6414,-80770.6,0.5059,-125850.6
BTCUSDT,2,dcrowd,12,288,0.05,8640,96,False,3220,1.47,-2.92,0.4938,0.9489,-9389.4,0.7387,-54469.4,0.578,-99549.4,0.4556,-144629.4
BTCUSDT,2,dcrowd,12,288,0.05,8640,144,True,2528,1.154,0.6,0.4893,1.0086,1528.0,0.8269,-33864.0,0.6794,-69256.0,0.5597,-104648.0
BTCUSDT,2,dcrowd,12,288,0.05,8640,144,False,2528,1.154,-0.6,0.5107,0.9914,-1528.0,0.8123,-36920.0,0.6666,-72312.0,0.5491,-107704.0
BTCUSDT,2,dcrowd,12,288,0.05,8640,288,True,1549,0.707,-8.59,0.4958,0.9195,-13304.8,0.802,-34990.8,0.6999,-56676.8,0.6114,-78362.8
