ts,hour,year,ticks,median_bps,mean_bps,p90_bps,sym
2023-12-01 09:00:00+00:00,9,2023,2712,11.819399574500665,11.820524833706486,11.83385270798041,XAGUSD
2023-12-01 13:00:00+00:00,13,2023,4400,11.929852467490191,11.921902949105336,11.941724385001647,XAGUSD
2023-12-01 21:00:00+00:00,21,2023,924,11.780875711761688,11.845362688235433,11.788745677460366,XAGUSD
2023-12-29 21:00:00+00:00,21,2023,703,12.609810432516976,12.846857792302314,12.618296529967438,XAGUSD
2024-01-08 01:00:00+00:00,1,2024,2117,12.94219154443535,12.944423500004856,12.965123816932943,XAGUSD
2024-01-08 05:00:00+00:00,5,2024,2275,13.048016701461872,13.043668015418241,13.06165099268597,XAGUSD
2024-01-08 09:00:00+00:00,9,2024,2805,13.071895424837097,13.065891417395195,13.086150490731137,XAGUSD
2024-01-08 13:00:00+00:00,13,2024,5525,13.085579691179264,13.085223204013575,13.10215312049508,XAGUSD
2024-01-08 21:00:00+00:00,21,2024,574,12.98139333621858,13.064236750774251,12.989824637367889,XAGUSD
2024-01-17 01:00:00+00:00,1,2024,2512,13.101580924098672,13.101815072253787,13.110742067999993,XAGUSD
2024-01-17 05:00:00+00:00,5,2024,2365,13.164823591364375,13.16266502957867,13.171181454977011,XAGUSD
2024-01-17 09:00:00+00:00,9,2024,2234,13.201320132012137,13.175695809436284,13.22867977775868,XAGUSD
2024-01-17 17:00:00+00:00,17,2024,2935,13.300230537329817,13.301247637979378,13.315579227696908,XAGUSD
2024-01-26 01:00:00+00:00,1,2024,1668,13.095861707699312,13.098869882223708,13.11704778977639,XAGUSD
2024-01-26 21:00:00+00:00,21,2024,676,13.15183797567506,13.351847653695517,13.159626266614527,XAGUSD
2024-02-22 09:00:00+00:00,9,2024,2597,12.994888677119286,12.98941895856766,13.010668748374158,XAGUSD
2024-02-22 17:00:00+00:00,17,2024,2129,13.155586739167505,13.155659363038614,13.165401325317566,XAGUSD
2024-02-22 21:00:00+00:00,21,2024,359,13.182756953903233,13.71859766855487,13.186813186813685,XAGUSD
2024-03-04 05:00:00+00:00,5,2024,962,13.022528975127464,13.019983916207682,13.027561980836145,XAGUSD
2024-03-04 13:00:00+00:00,13,2024,4465,12.916559028675252,12.919464163353414,12.975778546713295,XAGUSD
2024-03-04 17:00:00+00:00,17,2024,3702,12.61882729031763,12.559092587899093,12.634238787113555,XAGUSD
2024-03-04 21:00:00+00:00,21,2024,552,12.546002007360798,12.094041653815998,12.553351744916368,XAGUSD
2024-03-12 05:00:00+00:00,5,2024,1753,12.249397737945015,12.25100079273918,12.265925259627764,XAGUSD
2024-03-12 09:00:00+00:00,9,2024,1706,12.26567451500975,12.1684086724382,12.27696840726843,XAGUSD
2024-03-12 13:00:00+00:00,13,2024,14112,12.406434804185574,12.403602729993914,12.456919818958431,XAGUSD
2024-03-12 17:00:00+00:00,17,2024,3118,12.409513960703675,12.409595917606831,12.426116387483546,XAGUSD
2024-03-21 01:00:00+00:00,1,2024,6620,11.681788092364448,11.684279372720951,11.70686022008803,XAGUSD
2024-03-21 05:00:00+00:00,5,2024,1412,11.702293649555756,11.702482373413607,11.709144842120752,XAGUSD
2024-03-21 09:00:00+00:00,9,2024,4218,11.779487984922701,11.781743028785272,11.796162315192507,XAGUSD
2024-06-12 13:00:00+00:00,13,2024,19713,9.976057462091362,9.994384307174352,10.072522159549134,XAGUSD
2024-06-21 01:00:00+00:00,1,2024,9319,9.79112271540507,9.791327495538216,9.826400262037712,XAGUSD
2024-06-21 05:00:00+00:00,5,2024,3126,9.795278675678695,9.792611025180959,9.800078400626417,XAGUSD
