symbol,tf,floor,topn,quarters,q_above_1,trades,pf,pf_2x,tpd,total_r
AUDUSD,30m,30,1,7,2,62,0.57,0.463,0.098,-12.52
EURUSD,3m,100,1,7,1,187,0.568,0.458,0.298,-64.0
GBPUSD,3m,100,1,7,1,249,0.567,0.435,0.396,-112.55
USDJPY,3m,100,10,7,0,2613,0.567,0.455,4.1,-91.6
AUDUSD,3m,30,10,7,1,735,0.566,0.45,1.157,-28.33
USDJPY,15m,30,1,7,2,63,0.557,0.444,0.101,-17.71
EURUSD,30m,100,1,7,0,247,0.551,0.44,0.388,-55.09
XAUUSD,15m,30,10,7,0,651,0.55,0.457,1.023,-20.85
USDJPY,3m,100,1,7,1,259,0.55,0.428,0.409,-90.09
GBPUSD,1h,30,1,7,1,53,0.544,0.484,0.09,-12.11
NZDUSD,30m,30,10,7,1,750,0.541,0.444,1.177,-18.5
USDCAD,1h,30,10,7,0,561,0.538,0.437,0.894,-12.12
NZDUSD,3m,30,10,7,2,784,0.532,0.408,1.246,-39.07
GBPUSD,30m,30,10,7,1,826,0.532,0.467,1.306,-23.5
GBPUSD,15m,30,10,7,1,1141,0.53,0.436,1.802,-25.99
USDCAD,5m,30,10,7,0,771,0.523,0.38,1.21,-29.39
USDJPY,4h,30,1,7,1,63,0.52,0.453,0.101,-8.38
AUDUSD,15m,30,10,7,2,549,0.52,0.414,0.868,-9.1
BTCUSDT,15m,100,1,7,2,206,0.517,0.412,0.325,-76.11
BTCUSDT,30m,30,1,7,1,71,0.509,0.4,0.114,-21.88
BTCUSDT,4h,30,1,7,1,70,0.508,0.424,0.125,-13.42
GBPUSD,5m,30,1,7,2,71,0.504,0.411,0.115,-39.82
USDJPY,3m,30,1,7,3,70,0.502,0.393,0.111,-28.62
USDCAD,4h,30,10,7,1,512,0.492,0.416,0.803,-8.91
NZDUSD,1h,30,1,7,1,72,0.492,0.443,0.117,-21.65
XAUUSD,3m,100,1,7,1,253,0.476,0.355,0.401,-169.74
XAUUSD,15m,30,1,7,2,47,0.47,0.383,0.078,-13.12
EURUSD,30m,30,1,7,3,60,0.461,0.372,0.095,-12.65
GBPUSD,4h,30,1,6,2,62,0.455,0.403,0.103,-6.0
EURUSD,3m,30,10,7,1,717,0.451,0.307,1.129,-24.94
GBPUSD,15m,30,1,7,2,119,0.446,0.385,0.188,-37.54
AUDUSD,5m,30,10,7,0,1011,0.446,0.359,1.591,-41.64
USDCAD,4h,30,1,6,2,63,0.417,0.36,0.108,-11.25
AUDUSD,5m,100,1,7,2,314,0.415,0.326,0.499,-135.12
USDCAD,30m,30,1,7,1,62,0.411,0.28,0.099,-12.0
XAUUSD,4h,30,1,6,1,50,0.392,0.363,0.085,-10.12
AUDUSD,5m,30,1,7,1,92,0.389,0.319,0.149,-51.44
EURUSD,3m,30,1,7,1,81,0.339,0.226,0.13,-34.99
NZDUSD,3m,30,1,7,1,65,0.229,0.172,0.109,-57.6
GBPUSD,30m,30,1,7,0,64,0.218,0.19,0.101,-35.62
AUDUSD,3m,30,1,7,0,72,0.169,0.131,0.117,-57.59
