n_legs,legs,r_per_day,max_dd_r,K,trades,tpd
5,BTCUSDT 1h + BTCUSDT 4h + ETHUSDT 1h + ETHUSDT 30m + SOLUSDT 4h,0.09678,-8.39224,0.01153,854,1.28614
5,BTCUSDT 1h + BTCUSDT 4h + ETHUSDT 1h + ETHUSDT 30m + XAUUSD 5m,0.09118,-11.50228,0.00793,971,1.46015
5,BTCUSDT 1h + BTCUSDT 4h + ETHUSDT 1h + SOLUSDT 4h + XAUUSD 5m,0.08379,-13.26873,0.00632,935,1.40602
5,BTCUSDT 1h + BTCUSDT 4h + ETHUSDT 30m + SOLUSDT 4h + XAUUSD 5m,0.05785,-11.02201,0.00525,855,1.28571
5,BTCUSDT 1h + ETHUSDT 15m + ETHUSDT 1h + ETHUSDT 30m + SOLUSDT 4h,0.09299,-10.79539,0.00861,772,1.16265
5,BTCUSDT 1h + ETHUSDT 15m + ETHUSDT 1h + ETHUSDT 30m + XAUUSD 5m,0.08739,-14.03208,0.00623,889,1.33684
5,BTCUSDT 1h + ETHUSDT 15m + ETHUSDT 1h + SOLUSDT 4h + XAUUSD 5m,0.08,-15.84267,0.00505,853,1.28271
5,BTCUSDT 1h + ETHUSDT 15m + ETHUSDT 30m + SOLUSDT 4h + XAUUSD 5m,0.05406,-13.59181,0.00398,773,1.16241
5,BTCUSDT 1h + ETHUSDT 1h + ETHUSDT 30m + SOLUSDT 4h + XAUUSD 5m,0.10167,-10.89601,0.00933,904,1.3594
5,BTCUSDT 30m + BTCUSDT 4h + ETHUSDT 15m + ETHUSDT 1h + ETHUSDT 30m,0.09912,-8.57363,0.01156,924,1.38947
5,BTCUSDT 30m + BTCUSDT 4h + ETHUSDT 15m + ETHUSDT 1h + SOLUSDT 4h,0.09174,-6.84003,0.01341,888,1.33534
5,BTCUSDT 30m + BTCUSDT 4h + ETHUSDT 15m + ETHUSDT 1h + XAUUSD 5m,0.08628,-8.94697,0.00964,1005,1.51128
5,BTCUSDT 30m + BTCUSDT 4h + ETHUSDT 15m + ETHUSDT 30m + SOLUSDT 4h,0.0658,-7.68875,0.00856,808,1.21504
5,BTCUSDT 30m + BTCUSDT 4h + ETHUSDT 15m + ETHUSDT 30m + XAUUSD 5m,0.06034,-7.47096,0.00808,925,1.39098
5,BTCUSDT 30m + BTCUSDT 4h + ETHUSDT 15m + SOLUSDT 4h + XAUUSD 5m,0.05295,-8.969,0.0059,889,1.33684
5,BTCUSDT 30m + BTCUSDT 4h + ETHUSDT 1h + ETHUSDT 30m + SOLUSDT 4h,0.11341,-7.54601,0.01503,939,1.41203
5,BTCUSDT 30m + BTCUSDT 4h + ETHUSDT 1h + ETHUSDT 30m + XAUUSD 5m,0.10795,-7.74115,0.01394,1056,1.58797
5,BTCUSDT 30m + BTCUSDT 4h + ETHUSDT 1h + SOLUSDT 4h + XAUUSD 5m,0.10056,-6.19695,0.01623,1020,1.53383
5,BTCUSDT 30m + BTCUSDT 4h + ETHUSDT 30m + SOLUSDT 4h + XAUUSD 5m,0.07462,-5.17825,0.01441,940,1.41353
5,BTCUSDT 30m + ETHUSDT 15m + ETHUSDT 1h + ETHUSDT 30m + SOLUSDT 4h,0.10978,-7.99979,0.01372,857,1.29066
5,BTCUSDT 30m + ETHUSDT 15m + ETHUSDT 1h + ETHUSDT 30m + XAUUSD 5m,0.10432,-7.75288,0.01346,974,1.46687
5,BTCUSDT 30m + ETHUSDT 15m + ETHUSDT 1h + SOLUSDT 4h + XAUUSD 5m,0.09692,-8.28754,0.01169,938,1.41265
5,BTCUSDT 30m + ETHUSDT 15m + ETHUSDT 30m + SOLUSDT 4h + XAUUSD 5m,0.07094,-8.2478,0.0086,858,1.29217
5,BTCUSDT 30m + ETHUSDT 1h + ETHUSDT 30m + SOLUSDT 4h + XAUUSD 5m,0.11863,-6.72526,0.01764,989,1.48946
5,BTCUSDT 4h + ETHUSDT 15m + ETHUSDT 1h + ETHUSDT 30m + SOLUSDT 4h,0.09703,-6.44364,0.01506,724,1.09036
5,BTCUSDT 4h + ETHUSDT 15m + ETHUSDT 1h + ETHUSDT 30m + XAUUSD 5m,0.09142,-6.17168,0.01481,841,1.26466
5,BTCUSDT 4h + ETHUSDT 15m + ETHUSDT 1h + SOLUSDT 4h + XAUUSD 5m,0.08404,-6.92583,0.01213,805,1.21053
