legs,n_legs,target,risk,mean_corr,active_days_per_day,cagr,max_dd,sharpe,pass_rate,fail_max,fail_daily,median_days,p25_days,pass_within_7,pass_within_14,pass_within_30
GBPUSD 4h,1,8%,0.03,0.0,0.14,0.1581,-0.1838,0.77,0.3631,0.5092,0.0294,36.0,28.0,0.0,0.0,0.1176
GBPUSD 4h,1,5%,0.03,0.0,0.14,0.1581,-0.1838,0.77,0.409,0.4632,0.0294,35.0,26.0,0.0,0.0028,0.1517
USDCHF 15m,1,8%,0.005,0.0,0.144,0.0455,-0.1009,0.48,0.4467,0.3134,0.0,134.0,66.0,0.0,0.0,0.0175
USDCHF 15m,1,5%,0.005,0.0,0.144,0.0455,-0.1009,0.48,0.5368,0.2776,0.0,106.0,48.0,0.0,0.0,0.0331
USDCHF 15m,1,8%,0.0075,0.0,0.144,0.0668,-0.1437,0.48,0.5303,0.3006,0.0,105.0,49.0,0.0,0.0,0.0322
USDCHF 15m,1,5%,0.0075,0.0,0.144,0.0668,-0.1437,0.48,0.6158,0.2748,0.0,72.0,40.0,0.0,0.0018,0.0671
USDCHF 15m,1,8%,0.01,0.0,0.144,0.0874,-0.1887,0.48,0.4632,0.3934,0.0,53.0,38.0,0.0,0.0,0.0597
USDCHF 15m,1,5%,0.01,0.0,0.144,0.0874,-0.1887,0.48,0.5524,0.3686,0.0,51.0,36.0,0.0,0.0018,0.0763
USDCHF 15m,1,8%,0.015,0.0,0.144,0.1263,-0.275,0.48,0.3539,0.4274,0.1884,45.0,34.0,0.0,0.0018,0.0597
USDCHF 15m,1,5%,0.015,0.0,0.144,0.1263,-0.275,0.48,0.4265,0.3805,0.1627,40.0,31.0,0.0,0.0083,0.1039
USDCHF 15m,1,8%,0.02,0.0,0.144,0.1627,-0.3565,0.48,0.2555,0.205,0.5101,38.0,29.0,0.0,0.0083,0.0763
USDCHF 15m,1,5%,0.02,0.0,0.144,0.1627,-0.3565,0.48,0.3097,0.1866,0.4743,36.0,29.0,0.0,0.0083,0.0947
USDCHF 15m,1,8%,0.03,0.0,0.144,0.2295,-0.5067,0.48,0.25,0.273,0.4559,33.0,28.0,0.0,0.0083,0.0928
USDCHF 15m,1,5%,0.03,0.0,0.144,0.2295,-0.5067,0.48,0.2665,0.2711,0.4412,33.0,28.0,0.0,0.0083,0.0983
USDCAD 1h,1,8%,0.005,0.0,0.154,0.0293,-0.031,0.92,0.0,0.0,0.0,,,0.0,0.0,0.0
USDCAD 1h,1,5%,0.005,0.0,0.154,0.0293,-0.031,0.92,0.4099,0.0,0.0,319.0,265.25,0.0,0.0,0.0
USDCAD 1h,1,8%,0.0075,0.0,0.154,0.0434,-0.0441,0.92,0.3594,0.0,0.0,326.0,288.0,0.0,0.0,0.0
USDCAD 1h,1,5%,0.0075,0.0,0.154,0.0434,-0.0441,0.92,0.5331,0.0,0.0,186.0,148.0,0.0,0.0,0.0
USDCAD 1h,1,8%,0.01,0.0,0.154,0.0571,-0.0559,0.92,0.4917,0.0,0.0,236.0,198.5,0.0,0.0,0.0
USDCAD 1h,1,5%,0.01,0.0,0.154,0.0571,-0.0559,0.92,0.5643,0.0,0.0,123.0,77.25,0.0,0.0,0.0
USDCAD 1h,1,8%,0.015,0.0,0.154,0.0835,-0.0765,0.92,0.5414,0.296,0.0,138.0,98.0,0.0,0.0,0.0
USDCAD 1h,1,5%,0.015,0.0,0.154,0.0835,-0.0765,0.92,0.6415,0.1958,0.0,66.5,41.25,0.0,0.0018,0.0735
USDCAD 1h,1,8%,0.02,0.0,0.154,0.1087,-0.0937,0.92,0.5331,0.3649,0.0,72.0,52.0,0.0,0.0,0.0221
USDCAD 1h,1,5%,0.02,0.0,0.154,0.1087,-0.0937,0.92,0.6581,0.2399,0.0,49.0,32.0,0.0,0.0028,0.1415
USDCAD 1h,1,8%,0.03,0.0,0.154,0.1559,-0.121,0.92,0.4715,0.3722,0.0708,41.0,31.0,0.0,0.0028,0.1112
USDCAD 1h,1,5%,0.03,0.0,0.154,0.1559,-0.121,0.92,0.5312,0.3208,0.0625,31.0,25.0,0.0,0.0046,0.2463
BTCUSDT 1h + EURUSD 5m,2,8%,0.005,-0.027,0.234,0.3901,-0.2032,1.03,0.3631,0.4614,0.0772,31.0,20.0,0.0119,0.0634,0.1765
BTCUSDT 1h + EURUSD 5m,2,5%,0.005,-0.027,0.234,0.3901,-0.2032,1.03,0.4899,0.3483,0.0643,34.0,20.0,0.0119,0.0754,0.2086
BTCUSDT 1h + EURUSD 5m,2,8%,0.0075,-0.027,0.234,0.523,-0.2549,1.03,0.3529,0.3033,0.2518,29.0,17.0,0.0119,0.0717,0.1866
BTCUSDT 1h + EURUSD 5m,2,5%,0.0075,-0.027,0.234,0.523,-0.2549,1.03,0.454,0.2399,0.2307,28.0,18.0,0.0129,0.0836,0.261
BTCUSDT 1h + EURUSD 5m,2,8%,0.01,-0.027,0.234,0.6363,-0.292,1.03,0.2987,0.2785,0.3585,28.0,18.0,0.011,0.0561,0.1792
BTCUSDT 1h + EURUSD 5m,2,5%,0.01,-0.027,0.234,0.6363,-0.292,1.03,0.3621,0.2601,0.3254,29.0,19.0,0.011,0.0616,0.2031
BTCUSDT 1h + EURUSD 5m,2,8%,0.015,-0.027,0.234,0.8254,-0.3419,1.03,0.2353,0.2932,0.4393,28.0,19.0,0.0064,0.0303,0.1388
BTCUSDT 1h + EURUSD 5m,2,5%,0.015,-0.027,0.234,0.8254,-0.3419,1.03,0.239,0.2932,0.4393,28.0,19.0,0.0064,0.034,0.1425
BTCUSDT 1h + EURUSD 5m,2,8%,0.02,-0.027,0.234,0.982,-0.3738,1.03,0.1654,0.3382,0.4678,28.0,19.0,0.0046,0.0221,0.0983
BTCUSDT 1h + EURUSD 5m,2,5%,0.02,-0.027,0.234,0.982,-0.3738,1.03,0.1847,0.3189,0.4678,29.0,19.0,0.0046,0.0267,0.1029
BTCUSDT 1h + EURUSD 5m,2,8%,0.03,-0.027,0.234,1.2376,-0.4122,1.03,0.0506,0.1048,0.8162,29.0,23.0,0.0,0.0,0.0276
BTCUSDT 1h + EURUSD 5m,2,5%,0.03,-0.027,0.234,1.2376,-0.4122,1.03,0.0506,0.1048,0.8162,29.0,23.0,0.0,0.0,0.0276
BTCUSDT 1h + AUDUSD 1h,2,8%,0.005,0.068,0.27,0.2379,-0.0726,1.44,0.8364,0.1121,0.0,64.0,31.0,0.0,0.0285,0.2031
BTCUSDT 1h + AUDUSD 1h,2,5%,0.005,0.068,0.27,0.2379,-0.0726,1.44,0.8713,0.1112,0.0,51.0,26.0,0.0,0.0441,0.2757
BTCUSDT 1h + AUDUSD 1h,2,8%,0.0075,0.068,0.27,0.3289,-0.0884,1.44,0.7307,0.2408,0.0,43.0,25.0,0.0,0.0441,0.2546
BTCUSDT 1h + AUDUSD 1h,2,5%,0.0075,0.068,0.27,0.3289,-0.0884,1.44,0.7417,0.2408,0.0,37.0,22.0,0.0,0.0478,0.3107
BTCUSDT 1h + AUDUSD 1h,2,8%,0.01,0.068,0.27,0.409,-0.0993,1.44,0.7105,0.2721,0.0,37.0,23.0,0.0,0.0478,0.284
BTCUSDT 1h + AUDUSD 1h,2,5%,0.01,0.068,0.27,0.409,-0.0993,1.44,0.7142,0.2684,0.0,31.0,21.0,0.0,0.0551,0.3548
BTCUSDT 1h + AUDUSD 1h,2,8%,0.015,0.068,0.27,0.5467,-0.1312,1.44,0.4485,0.4136,0.1204,24.0,19.0,0.0,0.046,0.3107
BTCUSDT 1h + AUDUSD 1h,2,5%,0.015,0.068,0.27,0.5467,-0.1312,1.44,0.4825,0.3925,0.1075,22.0,17.0,0.0009,0.0671,0.3814
BTCUSDT 1h + AUDUSD 1h,2,8%,0.02,0.068,0.27,0.6637,-0.1627,1.44,0.2822,0.2335,0.4669,22.0,17.0,0.0009,0.0414,0.2362
BTCUSDT 1h + AUDUSD 1h,2,5%,0.02,0.068,0.27,0.6637,-0.1627,1.44,0.3097,0.2243,0.4485,21.0,16.0,0.0009,0.0542,0.2574
BTCUSDT 1h + AUDUSD 1h,2,8%,0.03,0.068,0.27,0.8584,-0.2139,1.44,0.1618,0.1443,0.6765,21.0,15.0,0.0009,0.0349,0.1471
