symbol,tf,floor,topn,quarters,q_above_1,pf,trades,trades_per_day,trades_per_week,avg_hold_h,win_rate,avg_r,max_dd_r,max_dd_pct,sharpe,days_to_target,days_to_breach,pf_2x
AUDUSD,5m,30,10,7,3,0.759,1051,1.662,11.63,8.37,0.3397,-0.0164,-25.14,-0.1886,-1.379,22494.7,384.0,0.605
NZDUSD,4h,100,10,7,1,0.758,2343,3.709,25.96,10.84,0.3781,-0.005,-12.45,-0.0933,-1.695,5038105.1,576.6,0.63
EURUSD,4h,30,1,7,3,0.758,70,0.111,0.78,5.03,0.3571,-0.0691,-6.87,-0.0515,-0.59,18180.8,1289.0,0.64
GBPUSD,15m,100,10,7,0,0.756,2583,4.065,28.46,7.06,0.2834,-0.0194,-60.71,-0.4553,-1.895,1809.7,126.0,0.589
USDJPY,1h,30,1,7,3,0.755,95,0.153,1.07,6.72,0.2947,-0.1851,-34.03,-0.2552,-0.803,1064.4,279.2,0.604
GBPUSD,5m,100,1,7,1,0.753,303,0.479,3.36,9.46,0.2541,-0.2074,-77.67,-0.5826,-1.208,146.2,61.9,0.604
NZDUSD,5m,100,10,7,0,0.748,2730,4.308,30.15,8.44,0.1912,-0.0259,-75.52,-0.5664,-1.651,302.5,72.6,0.566
AUDUSD,1h,100,10,7,2,0.743,2658,4.184,29.29,10.53,0.3108,-0.0178,-56.21,-0.4215,-2.426,14661.5,142.3,0.604
GBPUSD,4h,30,1,7,2,0.741,67,0.11,0.77,8.24,0.3284,-0.1486,-16.79,-0.1259,-0.656,2392.9,513.2,0.627
USDCAD,4h,100,1,7,2,0.732,171,0.271,1.89,11.46,0.3626,-0.0703,-14.34,-0.1075,-0.836,4269.3,496.1,0.554
USDJPY,4h,30,10,7,3,0.73,852,1.35,9.45,4.85,0.4014,-0.0126,-13.68,-0.1026,-1.306,220045.6,625.5,0.61
GBPUSD,30m,100,1,7,1,0.728,274,0.435,3.05,6.13,0.2117,-0.2789,-96.1,-0.7207,-1.242,97.4,46.2,0.549
NZDUSD,5m,30,10,7,1,0.726,1544,2.471,17.29,7.3,0.1794,-0.0286,-46.37,-0.3477,-1.322,494.1,115.9,0.543
NZDUSD,15m,30,1,7,3,0.72,89,0.142,0.99,11.28,0.2247,-0.25,-42.93,-0.322,-0.718,405.0,172.8,0.55
USDCAD,15m,30,10,7,2,0.701,1076,1.696,11.87,9.84,0.2602,-0.026,-29.24,-0.2193,-1.23,1565.8,209.9,0.521
