sym,tf,dirn,thr,hold,n,avg_r,pf,win,total_r,null_pf
ETHUSDT,4h,follow,1.0,4,1084,1.0578,1.109,47.0,1146.6,0.934
ETHUSDT,4h,fade,1.0,8,669,-3.6856,0.667,48.1,-2465.7,1.113
ETHUSDT,4h,follow,1.0,8,669,2.5439,1.324,48.4,1701.9,0.799
ETHUSDT,4h,fade,1.0,12,472,-1.9762,0.814,47.7,-932.8,0.721
ETHUSDT,4h,follow,1.0,12,472,0.9322,1.102,50.8,440.0,1.265
ETHUSDT,4h,fade,1.5,1,1655,-1.8915,0.683,48.8,-3130.4,0.8
ETHUSDT,4h,follow,1.5,1,1655,0.4223,1.088,46.2,698.9,0.923
ETHUSDT,4h,fade,1.5,2,1310,-2.8319,0.638,49.6,-3709.7,0.806
ETHUSDT,4h,follow,1.5,2,1310,1.2386,1.216,45.6,1622.5,0.978
ETHUSDT,4h,fade,1.5,4,964,-3.2115,0.689,49.9,-3095.9,0.856
ETHUSDT,4h,follow,1.5,4,964,1.4842,1.187,45.6,1430.8,0.975
ETHUSDT,4h,fade,1.5,8,603,-1.9805,0.834,51.7,-1194.2,1.364
