sym,tf,thr,stop,hold,n,win,avg_r,pf,null_pf,tpd,days60,pass60,risk60
XAGUSD,1h,0.25,0.75,192,1364,3.8,-0.1585,0.877,0.507,1.24,,,
XAGUSD,1h,0.25,0.75,384,719,3.9,0.0763,1.06,0.522,0.66,,,
XAGUSD,1h,0.25,1.0,96,1469,7.1,-0.1638,0.861,0.579,1.34,,,
XAGUSD,1h,0.25,1.0,192,1007,5.7,-0.064,0.946,0.593,0.92,,,
XAGUSD,1h,0.25,1.0,384,618,4.5,-0.0517,0.956,0.493,0.56,,,
XAGUSD,1h,0.25,1.25,96,1205,8.6,-0.1637,0.856,0.633,1.1,,,
XAGUSD,1h,0.25,1.25,192,826,6.9,-0.0937,0.918,0.657,0.75,,,
XAGUSD,1h,0.25,1.25,384,499,6.2,0.2051,1.181,0.549,0.46,,,
XAGUSD,1h,0.25,1.5,96,1001,10.4,-0.0866,0.92,0.621,0.91,,,
XAGUSD,1h,0.25,1.5,192,698,7.7,-0.1247,0.887,0.689,0.64,,,
XAGUSD,1h,0.25,1.5,384,485,6.2,-0.1455,0.871,0.63,0.44,,,
XAGUSD,1h,0.25,2.0,96,762,13.6,-0.1117,0.89,0.807,0.7,,,
XAGUSD,1h,0.25,2.0,192,493,12.2,0.117,1.116,0.661,0.45,,,
XAGUSD,1h,0.25,2.0,384,290,11.4,0.2998,1.285,0.821,0.26,17.5,62.9,4.0
XAGUSD,1h,0.5,0.75,96,1859,5.1,-0.272,0.786,0.58,1.7,,,
XAGUSD,1h,0.5,0.75,192,1277,4.1,-0.1483,0.884,0.502,1.17,,,
XAGUSD,1h,0.5,0.75,384,729,3.8,0.0402,1.032,0.429,0.67,,,
XAGUSD,1h,0.5,1.0,96,1454,6.9,-0.1793,0.849,0.623,1.33,,,
XAGUSD,1h,0.5,1.0,192,993,5.5,-0.1367,0.885,0.516,0.91,,,
XAGUSD,1h,0.5,1.0,384,612,4.6,-0.057,0.952,0.535,0.56,,,
XAGUSD,1h,0.5,1.25,96,1193,8.5,-0.1186,0.897,0.578,1.09,,,
XAGUSD,1h,0.5,1.25,192,795,7.0,0.0719,1.063,0.579,0.73,,,
XAGUSD,1h,0.5,1.25,384,440,6.6,0.389,1.349,0.536,0.4,,,
XAGUSD,1h,0.5,1.5,96,1010,10.2,-0.0847,0.923,0.586,0.92,,,
XAGUSD,1h,0.5,1.5,192,698,7.9,-0.0339,0.969,0.594,0.64,,,
XAGUSD,1h,0.5,1.5,384,463,6.5,-0.0347,0.969,0.636,0.42,,,
XAGUSD,1h,0.5,2.0,96,768,13.8,-0.1295,0.872,0.646,0.7,,,
XAGUSD,1h,0.5,2.0,192,489,12.1,0.0496,1.048,0.705,0.45,,,
XAGUSD,1h,0.5,2.0,384,309,10.7,0.1558,1.144,0.705,0.28,17.5,62.9,4.0
XAGUSD,1h,0.75,0.75,96,1750,5.1,-0.1278,0.9,0.553,1.6,,,
XAGUSD,1h,0.75,0.75,192,1168,4.7,0.178,1.139,0.458,1.07,,,
XAGUSD,1h,0.75,0.75,384,808,3.3,-0.1257,0.904,0.392,0.74,,,
XAGUSD,1h,0.75,1.0,96,1407,6.9,-0.064,0.947,0.634,1.28,,,
XAGUSD,1h,0.75,1.0,192,919,6.2,0.1598,1.134,0.53,0.84,,,
XAGUSD,1h,0.75,1.0,384,618,4.5,-0.0353,0.971,0.517,0.56,,,
XAGUSD,1h,0.75,1.25,96,1152,8.5,-0.1201,0.895,0.643,1.05,,,
XAGUSD,1h,0.75,1.25,192,806,6.7,0.0927,1.08,0.603,0.74,,,
XAGUSD,1h,0.75,1.25,384,507,5.5,0.139,1.122,0.541,0.46,,,
XAGUSD,1h,0.75,1.5,96,1000,10.3,-0.1492,0.865,0.591,0.91,,,
XAGUSD,1h,0.75,1.5,192,687,7.7,0.0183,1.016,0.555,0.63,,,
XAGUSD,1h,0.75,1.5,384,416,7.2,0.2935,1.263,0.543,0.38,,,
XAGUSD,1h,0.75,2.0,96,789,13.3,-0.1393,0.864,0.66,0.72,,,
XAGUSD,1h,0.75,2.0,192,525,11.0,0.0944,1.09,0.615,0.48,,,
XAGUSD,1h,0.75,2.0,384,339,10.0,0.2537,1.236,0.667,0.31,17.8,61.9,4.0
XAGUSD,1h,1.0,0.75,96,1590,5.8,-0.0118,0.991,0.639,1.45,,,
XAGUSD,1h,1.0,0.75,192,1105,4.9,0.3578,1.277,0.486,1.01,,,
XAGUSD,1h,1.0,0.75,384,762,3.4,0.0056,1.004,0.461,0.7,,,
XAGUSD,1h,1.0,1.0,96,1286,7.7,0.0977,1.082,0.686,1.17,,,
XAGUSD,1h,1.0,1.0,192,871,6.5,0.314,1.262,0.496,0.79,,,
XAGUSD,1h,1.0,1.0,384,526,5.5,0.3002,1.251,0.544,0.48,,,
XAGUSD,1h,1.0,1.25,96,1108,9.0,-0.0915,0.921,0.713,1.01,,,
XAGUSD,1h,1.0,1.25,192,785,6.8,0.0624,1.053,0.536,0.72,,,
XAGUSD,1h,1.0,1.25,384,439,6.8,0.5671,1.503,0.677,0.4,,,
XAGUSD,1h,1.0,1.5,96,976,10.5,-0.1236,0.889,0.684,0.89,,,
XAGUSD,1h,1.0,1.5,192,687,7.7,-0.005,0.996,0.556,0.63,,,
XAGUSD,1h,1.0,1.5,384,409,7.8,0.4949,1.44,0.728,0.37,,,
XAGUSD,1h,1.0,2.0,96,778,13.5,-0.1827,0.822,0.685,0.71,,,
XAGUSD,1h,1.0,2.0,192,533,10.3,-0.0562,0.948,0.549,0.49,,,
XAGUSD,1h,1.0,2.0,384,323,10.2,0.2949,1.274,0.809,0.29,17.8,61.9,4.0
XAGUSD,1h,1.25,0.75,96,1545,5.9,0.0096,1.007,0.613,1.41,,,
XAGUSD,1h,1.25,0.75,192,1098,4.6,0.5616,1.429,0.498,1.0,,,
XAGUSD,1h,1.25,0.75,384,730,3.6,0.0362,1.028,0.441,0.67,,,
XAGUSD,1h,1.25,1.0,96,1235,8.0,0.1503,1.124,0.676,1.13,,,
XAGUSD,1h,1.25,1.0,192,843,6.5,0.3544,1.291,0.516,0.77,,,
XAGUSD,1h,1.25,1.0,384,525,5.7,0.2593,1.214,0.489,0.48,,,
XAGUSD,1h,1.25,1.25,96,1066,9.3,-0.0166,0.986,0.692,0.97,,,
XAGUSD,1h,1.25,1.25,192,744,7.5,0.1968,1.169,0.498,0.68,,,
XAGUSD,1h,1.25,1.25,384,452,6.6,0.4154,1.359,0.628,0.41,,,
XAGUSD,1h,1.25,1.5,96,961,10.3,-0.1029,0.909,0.705,0.88,,,
XAGUSD,1h,1.25,1.5,192,677,7.8,0.0317,1.028,0.477,0.62,,,
XAGUSD,1h,1.25,1.5,384,401,8.0,0.5587,1.492,0.602,0.37,18.3,60.2,3.0
XAGUSD,1h,1.25,2.0,96,774,13.7,-0.137,0.868,0.682,0.71,,,
XAGUSD,1h,1.25,2.0,192,544,10.1,-0.0138,0.987,0.518,0.5,,,
XAGUSD,1h,1.25,2.0,384,308,10.7,0.5231,1.485,0.737,0.28,17.7,62.2,4.0
EURUSD,1h,0.25,0.75,96,1462,6.7,-0.1141,0.883,0.685,1.33,,,
EURUSD,1h,0.25,0.75,192,1018,5.9,0.0271,1.027,0.552,0.93,,,
EURUSD,1h,0.25,0.75,384,623,5.1,0.116,1.117,0.669,0.57,,,
EURUSD,1h,0.25,1.0,96,1179,9.1,0.1123,1.119,0.607,1.08,,,
EURUSD,1h,0.25,1.0,192,812,7.4,0.104,1.108,0.526,0.74,,,
EURUSD,1h,0.25,1.0,384,526,6.1,0.0127,1.013,0.425,0.48,105.4,62.6,0.25
EURUSD,1h,0.25,1.25,96,1050,10.7,0.0686,1.074,0.633,0.96,,,
EURUSD,1h,0.25,1.25,192,713,7.7,0.0576,1.06,0.533,0.65,,,
EURUSD,1h,0.25,1.25,384,469,6.8,-0.0037,0.996,0.51,0.43,,,
EURUSD,1h,0.25,1.5,96,893,13.7,0.0908,1.102,0.662,0.81,,,
EURUSD,1h,0.25,1.5,192,672,8.3,-0.1403,0.852,0.5,0.61,,,
EURUSD,1h,0.25,1.5,384,403,7.4,0.2067,1.218,0.632,0.37,,,
EURUSD,1h,0.25,2.0,96,701,17.5,0.1491,1.178,0.731,0.64,117.1,65.3,0.25
EURUSD,1h,0.25,2.0,192,506,12.1,-0.1821,0.799,0.673,0.46,,,
EURUSD,1h,0.25,2.0,384,321,10.0,-0.1256,0.863,0.85,0.29,,,
EURUSD,1h,0.5,0.75,96,1372,7.3,0.0148,1.015,0.695,1.25,,,
EURUSD,1h,0.5,0.75,192,930,6.5,0.1152,1.117,0.555,0.85,,,
EURUSD,1h,0.5,0.75,384,718,4.0,-0.1644,0.838,0.785,0.66,,,
EURUSD,1h,0.5,1.0,96,1101,9.6,0.1622,1.172,0.64,1.0,43.7,66.4,0.25
EURUSD,1h,0.5,1.0,192,784,7.8,0.1814,1.189,0.614,0.72,,,
