symbol,tf,quarter,floor,topn,train_pf,train_trades,n_eligible,test_trades,test_pf,test_pf_2x,test_total_r,test_tpd,test_win,anchor_hour,anchor_minute,mode,fill_mode,band_k,stop_mode,stop_k,target_mode,rr,max_hold_bars,min_rvol,min_atr_rank,max_atr_rank,warmup_bars,min_risk_bps,filter
BTCUSDT,4h,2020-04-01,100,10,1.615,127,2860,315,1.199,0.976,1.018,3.468,0.4317,-1,24,2,1,1.5,1,1.0,3,2.0,1,0.0,0.5,0.0,2,10.0,ATRrank>0.5
BTCUSDT,4h,2020-07-01,30,1,2.276,30,7968,5,0.0,0.0,-3.787,0.054,0.0,-1,24,3,1,2.5,0,1.0,3,2.0,0,0.0,0.0,0.5,2,10.0,ATRrank<0.5
BTCUSDT,4h,2020-07-01,30,10,2.276,30,7968,98,0.368,0.275,-2.922,1.067,0.3878,-1,24,3,1,2.5,0,1.0,3,2.0,0,0.0,0.0,0.5,2,10.0,ATRrank<0.5
BTCUSDT,4h,2020-07-01,100,1,1.467,110,2878,40,1.12,0.799,0.172,0.436,0.5,0,0,0,1,2.0,1,6.0,0,0.0,0,2.0,0.0,0.0,2,10.0,rvol>2.0
BTCUSDT,4h,2020-07-01,100,10,1.467,110,2878,338,0.819,0.58,-0.291,3.681,0.4793,0,0,0,1,2.0,1,6.0,0,0.0,0,2.0,0.0,0.0,2,10.0,rvol>2.0
BTCUSDT,4h,2020-10-01,30,1,2.546,32,8928,28,0.301,0.234,-4.903,0.305,0.3929,0,0,1,1,2.5,1,2.0,2,0.0,3,0.0,0.5,0.0,2,10.0,ATRrank>0.5
BTCUSDT,4h,2020-10-01,30,10,2.546,32,8928,210,0.737,0.611,-1.738,2.287,0.4714,0,0,1,1,2.5,1,2.0,2,0.0,3,0.0,0.5,0.0,2,10.0,ATRrank>0.5
BTCUSDT,4h,2020-10-01,100,1,1.64,106,2697,15,0.097,0.074,-1.39,0.163,0.2,0,0,0,1,2.0,1,6.0,0,0.0,0,2.5,0.0,0.0,2,10.0,rvol>2.5
BTCUSDT,4h,2020-10-01,100,10,1.64,106,2697,156,0.102,0.078,-1.388,1.699,0.2051,0,0,0,1,2.0,1,6.0,0,0.0,0,2.5,0.0,0.0,2,10.0,rvol>2.5
BTCUSDT,4h,2021-01-01,30,1,2.338,34,9784,0,,,0.0,0.0,,-1,24,2,1,2.5,0,1.0,3,2.0,0,0.0,0.0,0.5,2,10.0,ATRrank<0.5
BTCUSDT,4h,2021-01-01,30,10,2.338,34,9784,125,0.409,0.36,-3.765,1.391,0.28,-1,24,2,1,2.5,0,1.0,3,2.0,0,0.0,0.0,0.5,2,10.0,ATRrank<0.5
BTCUSDT,4h,2021-01-01,100,1,1.578,111,3239,50,0.745,0.669,-5.469,0.557,0.44,0,0,2,1,1.5,1,1.0,3,1.0,3,0.0,0.7,0.0,2,10.0,ATRrank>0.7
BTCUSDT,4h,2021-01-01,100,10,1.578,111,3239,258,0.741,0.664,-3.244,2.872,0.4147,0,0,2,1,1.5,1,1.0,3,1.0,3,0.0,0.7,0.0,2,10.0,ATRrank>0.7
BTCUSDT,4h,2021-04-01,30,1,3.635,33,9605,24,2.065,1.687,3.642,0.264,0.5833,-1,24,3,1,2.5,1,1.0,0,0.0,1,0.0,0.7,0.0,2,10.0,ATRrank>0.7
BTCUSDT,4h,2021-04-01,30,10,3.635,33,9605,206,1.817,1.515,2.182,2.268,0.5825,-1,24,3,1,2.5,1,1.0,0,0.0,1,0.0,0.7,0.0,2,10.0,ATRrank>0.7
BTCUSDT,4h,2021-04-01,100,1,1.796,104,3813,25,0.568,0.487,-3.806,0.275,0.4,8,0,0,1,2.0,0,6.0,0,0.0,3,2.0,0.0,0.0,2,10.0,rvol>2.0
BTCUSDT,4h,2021-04-01,100,10,1.796,104,3813,250,0.781,0.672,-0.583,2.752,0.432,8,0,0,1,2.0,0,6.0,0,0.0,3,2.0,0.0,0.0,2,10.0,rvol>2.0
BTCUSDT,4h,2021-07-01,30,1,3.349,30,8432,3,4.234,3.431,1.494,0.033,0.3333,8,0,2,1,1.5,1,1.0,3,2.0,1,2.5,0.0,0.0,2,10.0,rvol>2.5
BTCUSDT,4h,2021-07-01,30,10,3.349,30,8432,30,6.129,4.954,1.6,0.327,0.3667,8,0,2,1,1.5,1,1.0,3,2.0,1,2.5,0.0,0.0,2,10.0,rvol>2.5
BTCUSDT,4h,2021-07-01,100,1,1.733,101,4310,22,1.308,1.138,1.954,0.24,0.5455,8,0,0,1,2.0,0,6.0,0,0.0,3,2.0,0.0,0.0,2,10.0,rvol>2.0
BTCUSDT,4h,2021-07-01,100,10,1.733,101,4310,220,1.017,0.875,0.042,2.396,0.5455,8,0,0,1,2.0,0,6.0,0,0.0,3,2.0,0.0,0.0,2,10.0,rvol>2.0
BTCUSDT,4h,2021-10-01,30,1,2.615,30,8124,6,4.045,2.665,1.343,0.065,0.5,8,0,2,1,1.5,1,1.0,3,3.0,1,2.0,0.0,0.0,2,10.0,rvol>2.0
BTCUSDT,4h,2021-10-01,30,10,2.615,30,8124,69,4.092,2.772,1.43,0.751,0.5072,8,0,2,1,1.5,1,1.0,3,3.0,1,2.0,0.0,0.0,2,10.0,rvol>2.0
BTCUSDT,4h,2021-10-01,100,1,1.624,110,4527,22,1.023,0.641,0.055,0.24,0.3636,8,0,2,1,2.5,1,1.0,3,3.0,1,0.0,0.5,0.0,2,10.0,ATRrank>0.5
BTCUSDT,4h,2021-10-01,100,10,1.624,110,4527,220,1.023,0.641,0.05,2.396,0.3636,8,0,2,1,2.5,1,1.0,3,3.0,1,0.0,0.5,0.0,2,10.0,ATRrank>0.5
BTCUSDT,4h,2022-01-01,30,1,2.948,40,7960,16,0.462,0.336,-2.241,0.178,0.3125,8,0,2,1,1.5,1,1.0,3,3.0,1,1.5,0.0,0.0,2,10.0,rvol>1.5
BTCUSDT,4h,2022-01-01,30,10,2.948,40,7960,160,0.502,0.376,-1.766,1.781,0.325,8,0,2,1,1.5,1,1.0,3,3.0,1,1.5,0.0,0.0,2,10.0,rvol>1.5
BTCUSDT,4h,2022-01-01,100,1,2.198,103,4334,32,1.132,1.038,0.447,0.356,0.5938,-1,24,0,1,2.0,1,6.0,3,1.0,0,2.0,0.0,0.0,2,10.0,rvol>2.0
BTCUSDT,4h,2022-01-01,100,10,2.198,103,4334,322,1.171,1.068,0.627,3.584,0.5745,-1,24,0,1,2.0,1,6.0,3,1.0,0,2.0,0.0,0.0,2,10.0,rvol>2.0
BTCUSDT,4h,2022-04-01,30,1,3.04,33,7963,4,1.016,0.953,0.023,0.044,0.5,-1,24,4,1,2.0,1,2.0,3,1.0,0,2.0,0.0,0.0,2,10.0,rvol>2.0
BTCUSDT,4h,2022-04-01,30,10,3.04,33,7963,48,1.079,0.914,0.118,0.528,0.4375,-1,24,4,1,2.0,1,2.0,3,1.0,0,2.0,0.0,0.0,2,10.0,rvol>2.0
BTCUSDT,4h,2022-04-01,100,1,1.547,112,4438,26,0.656,0.568,-0.911,0.286,0.4231,-1,24,0,1,2.0,0,6.0,3,1.0,3,2.0,0.0,0.0,2,10.0,rvol>2.0
BTCUSDT,4h,2022-04-01,100,10,1.547,112,4438,226,0.465,0.349,-2.254,2.488,0.385,-1,24,0,1,2.0,0,6.0,3,1.0,3,2.0,0.0,0.0,2,10.0,rvol>2.0
BTCUSDT,4h,2022-07-01,30,1,3.982,30,7620,9,0.726,0.64,-0.602,0.098,0.3333,-1,24,4,1,2.0,1,2.0,3,1.0,3,2.0,0.0,0.0,2,10.0,rvol>2.0
BTCUSDT,4h,2022-07-01,30,10,3.982,30,7620,113,0.594,0.533,-1.366,1.23,0.3097,-1,24,4,1,2.0,1,2.0,3,1.0,3,2.0,0.0,0.0,2,10.0,rvol>2.0
BTCUSDT,4h,2022-07-01,100,1,2.224,101,4308,9,0.801,0.755,-0.791,0.098,0.4444,-1,24,4,1,2.0,1,2.0,3,1.0,0,0.0,0.7,0.0,2,10.0,ATRrank>0.7
