symbol,tf,floor,topn,quarters,q_above_1,trades,pf,pf_2x,win,avg_r,total_r,tpd,max_dd_r,train_pf_med
AUDUSD,15m,30,1,7,2,110,0.593,0.498,0.2727,-0.2953,-32.49,0.178,-45.23,2.292
USDCAD,1h,30,10,7,3,822,0.592,0.449,0.3577,-0.0225,-18.5,1.312,-22.99,2.432
EURUSD,1h,30,10,7,2,753,0.591,0.465,0.3665,-0.0258,-19.41,1.243,-21.11,2.801
XAGUSD,30m,100,1,7,2,284,0.59,0.464,0.1725,-0.4203,-119.37,0.449,-122.71,2.247
XAUUSD,4h,100,1,7,1,256,0.58,0.49,0.293,-0.2308,-59.09,0.406,-61.38,1.803
USDCAD,30m,100,1,7,0,277,0.572,0.432,0.2455,-0.355,-98.33,0.437,-99.85,1.327
AUDUSD,15m,30,10,7,1,1089,0.57,0.469,0.2966,-0.0306,-33.33,1.707,-35.39,2.292
EURUSD,1h,100,10,7,0,2089,0.566,0.426,0.3686,-0.0195,-40.75,3.331,-44.14,1.544
USDCAD,1h,100,10,7,0,2893,0.562,0.412,0.3139,-0.0138,-39.89,4.537,-40.79,1.384
XAGUSD,30m,30,1,7,1,112,0.559,0.465,0.1875,-0.3908,-43.77,0.176,-59.22,3.861
XAGUSD,15m,30,1,7,2,85,0.559,0.513,0.3529,-0.2542,-21.61,0.138,-22.61,3.446
XAUUSD,5m,100,1,7,2,316,0.558,0.413,0.0949,-0.5607,-177.18,0.501,-180.94,1.834
USDCHF,15m,30,10,7,0,1251,0.554,0.438,0.2598,-0.0319,-39.93,1.988,-44.08,2.156
EURUSD,1h,30,1,7,2,67,0.55,0.439,0.3582,-0.2955,-19.8,0.113,-20.88,2.801
USDCHF,30m,100,1,7,0,377,0.545,0.435,0.1804,-0.2608,-98.31,0.595,-98.9,1.425
NZDUSD,30m,30,10,7,0,948,0.535,0.41,0.2722,-0.0368,-34.93,1.507,-39.56,2.061
USDCAD,1h,100,1,7,0,272,0.534,0.412,0.3456,-0.1451,-39.47,0.429,-41.83,1.384
AUDUSD,4h,100,10,7,1,2305,0.519,0.4,0.3909,-0.0122,-28.18,3.634,-30.42,1.572
XAUUSD,4h,100,10,7,0,2811,0.506,0.42,0.3219,-0.0209,-58.71,4.437,-60.16,1.803
USDCAD,15m,100,1,7,0,233,0.5,0.387,0.279,-0.3829,-89.21,0.372,-93.28,1.253
USDJPY,4h,100,1,7,1,193,0.493,0.383,0.342,-0.2388,-46.09,0.316,-47.76,1.61
NZDUSD,4h,30,1,7,1,69,0.484,0.41,0.3333,-0.2953,-20.37,0.111,-20.7,2.359
GBPUSD,15m,30,1,7,1,83,0.484,0.383,0.1928,-0.4818,-39.99,0.136,-48.25,1.838
EURUSD,1h,100,1,7,0,195,0.484,0.357,0.3641,-0.2415,-47.09,0.316,-50.01,1.544
EURUSD,5m,30,1,7,2,159,0.48,0.361,0.195,-0.5431,-86.35,0.251,-86.35,1.709
GBPUSD,1h,100,1,7,2,227,0.453,0.381,0.2247,-0.3461,-78.56,0.356,-85.24,1.59
GBPUSD,4h,30,10,7,1,705,0.435,0.333,0.3702,-0.0216,-15.23,1.121,-15.98,2.477
GBPUSD,4h,30,1,7,1,52,0.401,0.306,0.3269,-0.2419,-12.58,0.083,-14.08,2.477
USDCHF,15m,30,1,7,0,102,0.387,0.297,0.1961,-0.551,-56.21,0.163,-62.04,2.156
USDCAD,1h,30,1,7,2,77,0.361,0.246,0.3506,-0.3304,-25.44,0.127,-27.06,2.432
NZDUSD,30m,30,1,7,0,89,0.353,0.264,0.1798,-0.6052,-53.87,0.143,-55.07,2.061
XAGUSD,4h,30,1,7,3,56,0.319,0.286,0.2679,-0.3527,-19.75,0.104,-22.78,4.442
