tf,beta_win,L,z_thr,H,hedged,tag,trades,span_days,tpd,tpd_per_coin,pf_0x,pf,pf_2x,pf_3x,win,avg_r,total_r,max_dd_r,hold_h,sharpe,r_per_day,est_days
15m,50,4,3.0,2,True,null0,6789,2209,3.0733363512901763,0.7683340878225441,1.0029180352110398,0.4558082634668057,0.21911732001759635,0.11369233275951433,0.34526439829135364,-0.098208799235064,-666.7395380068494,666.760595441969,0.5,-8.63130141489074,-0.30182867270568103,inf
15m,50,4,3.0,2,False,null0,6789,2209,3.0733363512901763,0.7683340878225441,1.0010589045001177,0.6661397983705856,0.447767065468609,0.30565035176988176,0.4174399764324643,-0.048587294549116214,-329.85914269395,331.3143368027761,0.5,-4.422279610672135,-0.14932509854864193,inf
15m,50,4,3.0,4,True,null0,3363,2209,1.5224083295608872,0.3806020823902218,1.062840921691873,0.5622477180674111,0.30387148634045874,0.1697806313084916,0.3898305084745763,-0.06284269225091098,-211.33997403981363,211.854290332428,1.0,-4.715354829007622,-0.0956722381348183,inf
15m,50,4,3.0,4,False,null0,3363,2209,1.5224083295608872,0.3806020823902218,1.0711702439437705,0.7741355468932926,0.5610724133996078,0.40905326943695414,0.4513826940231936,-0.02707049862061416,-91.03808686112542,92.07103990613457,1.0,-2.090281494072367,-0.04121235258538951,inf
15m,50,8,1.5,1,True,null0,125145,2209,56.65233137166138,14.163082842915346,1.007747656501129,0.3881697463908254,0.16587525034683112,0.08011801159918021,0.3100803068440609,-0.1544715703780769,-19331.344674964435,19332.864090504463,0.25,-43.96667078853291,-8.751174592559726,inf
15m,50,8,1.5,1,False,null0,125145,2209,56.65233137166138,14.163082842915346,1.008450692399094,0.6165137163913409,0.383575386262897,0.24552628252965558,0.39786647488912863,-0.07571681311536484,-9475.580577322333,9480.258905463976,0.25,-22.132577273678113,-4.289533987017806,inf
15m,50,8,1.5,2,True,null0,62513,2209,28.299230421004978,7.0748076052512445,1.0199962922564996,0.45853666430343865,0.21725585299659797,0.11103509180551917,0.3474317341992865,-0.10734633986136187,-6710.541743753314,6710.92403966078,0.5,-26.614924078930827,-3.037818806588191,inf
15m,50,8,1.5,2,False,null0,62513,2209,28.299230421004978,7.0748076052512445,1.0190557541396434,0.6768960432115522,0.453261040765832,0.30800323536352514,0.4206804984563211,-0.051931844325868066,-3246.4153843429904,3250.033292903015,0.5,-13.203354410361548,-1.4696312287655005,inf
15m,50,8,1.5,4,True,null0,31276,2209,14.1584427342689,3.539610683567225,1.0162615508006485,0.5356526967568759,0.288499569722552,0.16131327046920546,0.38495971351835273,-0.07587081061983796,-2372.935472946052,2374.5400962004355,1.0,-15.534960455169216,-1.0742125273635363,inf
15m,50,8,1.5,4,False,null0,31276,2209,14.1584427342689,3.539610683567225,1.0153966322242731,0.7331273618673401,0.5309824998675192,0.38687410667685057,0.4396981711216268,-0.03669817430506708,-1147.772099565278,1151.0437049207317,1.0,-7.681741722933728,-0.5195889993505106,inf
15m,50,8,2.0,1,True,null0,57160,2209,25.875961973743774,6.4689904934359435,1.0251799794937702,0.3953155865242204,0.16956933984764075,0.08229453732702564,0.31119664100769767,-0.14731778949840707,-8420.684847728948,8421.023201973028,0.25,-28.806327978768948,-3.8119895191167714,inf
15m,50,8,2.0,1,False,null0,57160,2209,25.875961973743774,6.4689904934359435,1.0248810031935187,0.6262089670952177,0.3896445590284313,0.24967486224625943,0.39868789363191043,-0.0710472741126698,-4061.0621882802056,4062.2516837557355,0.25,-14.269972749785756,-1.8384165632775942,inf
