tf,beta_win,L,z_thr,H,hedged,tag,trades,span_days,tpd,tpd_per_coin,pf_0x,pf,pf_2x,pf_3x,win,avg_r,total_r,max_dd_r,hold_h,sharpe,r_per_day,est_days
15m,50,16,1.5,1,True,real,143786,2209,65.090991398823,16.27274784970575,1.0219688700517278,0.07056360613075341,0.01472271651363072,0.005186833969392076,0.13588944681679718,-0.3686639415837591,-53008.71350456239,53008.7696451818,0.25,-141.9852501212156,-23.996701450684647,inf
15m,50,16,1.5,1,False,real,143786,2209,65.090991398823,16.27274784970575,0.9890402076984474,0.35075754235478224,0.14145417784096023,0.06658236825616329,0.33825268106769785,-0.1177866534271693,-16936.071749678966,16936.527525257905,0.25,-54.33233289146831,-7.666850045124023,inf
15m,50,16,1.5,2,True,real,71877,2209,32.538252602987775,8.134563150746944,1.0333506285331409,0.12765254983938912,0.031799970298712274,0.01209282705996875,0.19737885554488918,-0.2700951169818075,-19413.62672330138,19413.626723301568,0.5,-76.09251712193714,-8.788423143187586,inf
15m,50,16,1.5,2,False,real,71877,2209,32.538252602987775,8.134563150746944,0.9909736555218048,0.46385398330222244,0.23035641236716628,0.1243836936922133,0.38316846835566315,-0.08396512824647048,-6035.161522971559,6035.415114523299,0.5,-28.336911804203204,-2.7320785527259206,inf
15m,50,16,1.5,4,True,real,35863,2208,16.24230072463768,4.06057518115942,1.0356431785826654,0.20840885805540518,0.06155590326889812,0.024850792805144406,0.2618018570671723,-0.19190819534170375,-6882.403609539521,6882.556477896085,1.0,-40.70780552820227,-3.1170306202624642,inf
15m,50,16,1.5,4,False,real,35863,2208,16.24230072463768,4.06057518115942,0.9921059982552601,0.5678331659088062,0.3335941444926056,0.20502908443504397,0.4143267434403145,-0.059529017371487296,-2134.889149993649,2136.8590215083946,1.0,-14.722762893534162,-0.9668882019898772,inf
15m,50,16,2.0,1,True,real,65925,2208,29.85733695652174,7.464334239130435,1.0093274377164734,0.08847254208620968,0.019851898307307426,0.007259929799737978,0.15699658703071673,-0.3651119359010347,-24070.00437427571,24070.004374275948,0.25,-86.13643561877362,-10.90127009704516,inf
15m,50,16,2.0,1,False,real,65925,2208,29.85733695652174,7.464334239130435,0.9837374590858567,0.3828144156230884,0.16395000442833826,0.08021300134847632,0.3556769055745165,-0.11704548506757113,-7716.223603079627,7716.754901785372,0.25,-33.03138898490309,-3.494666486902005,inf
15m,50,16,2.0,2,True,real,32995,2208,14.94338768115942,3.735846920289855,1.0271710576592497,0.15278351624967676,0.04093351404256379,0.016088051134616796,0.2214577966358539,-0.26683930740984285,-8804.362947987765,8804.649070260815,0.5,-47.27726475738415,-3.9874832191973577,inf
15m,50,16,2.0,2,False,real,32995,2208,14.94338768115942,3.735846920289855,0.9989676229176953,0.4976528537324399,0.2590264135168992,0.14448797504611735,0.39803000454614335,-0.08223081553055095,-2713.2057584305285,2714.0902871570675,0.5,-17.605560865626135,-1.2288069558109278,inf
