sym,feature,horizon,n,q1,q3,q5,spread,abs_spread,monotone,null_best,beats_null,years_same_sign,years,clears_taker1x,clears_taker2x,clears_mixed,clears_maker2x
ETHUSDT,depz_0.2,1h,65058,-2.3696453579684023,-0.5901246938869795,0.1100836494125251,2.4797290073809273,2.4797290073809273,0.5,3.642553187118783,False,1,1,False,False,False,False
ETHUSDT,depz_0.2,2h,65046,-4.938304139800299,-1.1238177865745218,-0.39748588808966256,4.540818251710636,4.540818251710636,0.5,2.6790600353858247,True,1,1,False,False,False,False
ETHUSDT,depz_0.2,4h,65022,-4.648939658094337,-3.5298333589156856,-1.6523066354198437,2.996633022674493,2.996633022674493,0.5,10.43916642825795,False,1,1,False,False,False,False
ETHUSDT,imbz_1,15m,371716,-0.24571243741910176,-0.1755370327670419,0.4245839868302904,0.6702964242493922,0.6702964242493922,0.75,0.32791737673668153,True,4,4,False,False,False,False
ETHUSDT,imbz_1,30m,371713,-0.11616176099098227,-0.19791083812716614,0.3840724392636181,0.5002342002546004,0.5002342002546004,0.5,1.1683849126303891,False,3,4,False,False,False,False
ETHUSDT,imbz_1,1h,371707,0.535527432861087,-0.6088630404498201,0.6234129815202287,0.08788554865914178,0.08788554865914178,0.5,2.045616589595528,False,2,4,False,False,False,False
ETHUSDT,imbz_1,2h,371695,1.3280821061368262,-1.3610398980861484,0.9128121996352553,-0.4152699065015709,0.4152699065015709,0.5,2.2179282192024745,False,2,4,False,False,False,False
ETHUSDT,imbz_1,4h,371671,3.5291931261990666,-1.5273586197100777,1.1645146900126633,-2.364678436186403,2.364678436186403,0.5,3.5443629177077076,False,2,4,False,False,False,False
ETHUSDT,depz_1,15m,371716,0.19489663493675488,0.03961178863067701,0.1263361279200992,-0.06856050701665567,0.06856050701665567,0.75,0.4262002350965193,False,3,4,False,False,False,False
ETHUSDT,depz_1,30m,371713,0.20856150376750576,0.08199768638601318,0.14702951457295135,-0.06153198919455441,0.06153198919455441,0.75,0.5687017111809753,False,2,4,False,False,False,False
ETHUSDT,depz_1,1h,371707,0.32019587920323594,-0.24186762894724545,0.39562624634858173,0.07543036714534579,0.07543036714534579,0.5,1.533829186895375,False,3,4,False,False,False,False
ETHUSDT,depz_1,2h,371695,1.1972794134137905,-0.4644387802860344,0.25569189896367883,-0.9415875144501117,0.9415875144501117,0.5,3.1018680870382704,False,2,4,False,False,False,False
ETHUSDT,depz_1,4h,371671,2.433117301359363,-0.09858830978703481,-0.4417882731210977,-2.8749055744804606,2.8749055744804606,0.5,6.204939072727864,False,3,4,False,False,False,False
ETHUSDT,imbz_2,15m,371716,-0.06934369637849912,-0.27427615306801495,0.3414174583541387,0.41076115473263786,0.41076115473263786,0.75,0.28947839780808066,True,2,4,False,False,False,False
ETHUSDT,imbz_2,30m,371713,0.02107687842938315,-0.4161220127554638,0.40663700085713905,0.3855601224277559,0.3855601224277559,0.5,1.0084742755021192,False,3,4,False,False,False,False
ETHUSDT,imbz_2,1h,371707,0.595127169139617,-0.7589818287129646,0.7036322221749032,0.10850505303528613,0.10850505303528613,0.5,1.6462608190048016,False,2,4,False,False,False,False
ETHUSDT,imbz_2,2h,371695,0.6903161793998989,-0.6288963778714836,1.0648559448481996,0.3745397654483007,0.3745397654483007,0.5,2.6038413800152993,False,2,4,False,False,False,False
ETHUSDT,imbz_2,4h,371671,0.9684825181096621,-0.5545161839077998,1.6066388952024684,0.6381563770928063,0.6381563770928063,0.5,2.4440135430228027,False,2,4,False,False,False,False
ETHUSDT,depz_2,15m,371716,0.055969983710990295,0.05835050283489854,0.03842957104960221,-0.01754041266138809,0.01754041266138809,0.5,0.49707578347041137,False,2,4,False,False,False,False
ETHUSDT,depz_2,30m,371713,0.12071237450705144,0.07529032077587168,-0.01976662238533649,-0.14047899689238794,0.14047899689238794,0.5,0.4170918570585063,False,2,4,False,False,False,False
ETHUSDT,depz_2,1h,371707,-0.012335969129607122,-0.007916830521248808,0.1005158848844614,0.11285185401406853,0.11285185401406853,0.5,0.7952479727072642,False,2,4,False,False,False,False
ETHUSDT,depz_2,2h,371695,0.07201296655680467,-0.7081024402491229,0.8036659367735384,0.7316529702167337,0.7316529702167337,0.75,2.5972703219795497,False,3,4,False,False,False,False
ETHUSDT,depz_2,4h,371671,0.8858348128146157,-1.5348225675169842,1.4405374736729997,0.5547026608583839,0.5547026608583839,0.5,5.6376828454599694,False,2,4,False,False,False,False
ETHUSDT,imbz_5,15m,371716,-0.11984307472480339,-0.09992978314317845,0.4516271151617213,0.5714701898865248,0.5714701898865248,0.75,0.3750852180302429,True,2,4,False,False,False,False
ETHUSDT,imbz_5,30m,371713,-0.16430965599715047,-0.2377736178100797,0.6148148126199712,0.7791244686171217,0.7791244686171217,0.75,0.9470348570916594,False,3,4,False,False,False,False
ETHUSDT,imbz_5,1h,371707,0.024696582150489844,-0.582159645251147,0.8607191233453579,0.8360225411948681,0.8360225411948681,0.75,1.1098046777435713,False,3,4,False,False,False,False
ETHUSDT,imbz_5,2h,371695,0.35322121475484386,-0.8325954782530047,0.9253794717126776,0.5721582569578338,0.5721582569578338,0.5,3.068897882457628,False,3,4,False,False,False,False
ETHUSDT,imbz_5,4h,371671,0.46669262936325695,-0.10816997929813782,1.0376876902215892,0.5709950608583323,0.5709950608583323,0.5,2.04858709177504,False,3,4,False,False,False,False
ETHUSDT,depz_5,15m,371716,0.32373518845107335,0.03152689179205401,-0.06678231707955126,-0.3905175055306246,0.3905175055306246,0.5,0.5124845780466267,False,3,4,False,False,False,False
ETHUSDT,depz_5,30m,371713,0.5682033413170984,0.09993723704793027,-0.0752291919077345,-0.6434325332248328,0.6434325332248328,0.5,0.7605385552593352,False,3,4,False,False,False,False
ETHUSDT,depz_5,1h,371707,0.9711270362723728,0.030935716061259506,-0.14452265296337344,-1.1156496892357464,1.1156496892357464,0.75,1.298940586443145,False,2,4,False,False,False,False
ETHUSDT,depz_5,2h,371695,0.7341834923433587,-0.14365050326028733,-0.1441013945908754,-0.8782848869342341,0.8782848869342341,0.5,5.044977427893627,False,2,4,False,False,False,False
ETHUSDT,depz_5,4h,371671,1.5439586700557846,-0.2503012185987532,0.9119151484308384,-0.6320435216249461,0.6320435216249461,0.75,2.436805511692351,False,2,4,False,False,False,False
ETHUSDT,hollowz,15m,371716,-0.058088435517370654,-0.07908768787998215,0.0848800086251538,0.14296844414252446,0.14296844414252446,0.5,0.32026993249413505,False,2,4,False,False,False,False
ETHUSDT,hollowz,30m,371713,-0.19437416352709136,0.0043554290318644495,0.0644231187482451,0.2587972822753365,0.2587972822753365,0.5,1.2700398727122928,False,2,4,False,False,False,False
ETHUSDT,hollowz,1h,371707,-0.3853847569097983,0.24089763770937694,0.12527611669746053,0.5106608736072589,0.5106608736072589,0.75,1.1253153313349584,False,2,4,False,False,False,False
ETHUSDT,hollowz,2h,371695,-0.1624819011537693,0.38468949205523256,-0.46434376998137006,-0.3018618688276008,0.3018618688276008,0.5,2.2693948174934917,False,2,4,False,False,False,False
ETHUSDT,hollowz,4h,371671,1.3182860225791626,0.6807047820766776,-1.0436781456989008,-2.3619641682780634,2.3619641682780634,0.75,7.568324344544557,False,2,4,False,False,False,False
ETHUSDT,dimb_0.2_15m,15m,65064,-0.12953261291518806,-0.20348233234562257,-0.1643874310857099,-0.034854818170521856,0.034854818170521856,0.5,1.2637585206190332,False,1,1,False,False,False,False
ETHUSDT,dimb_0.2_15m,30m,65061,-0.32499066519944464,-0.21177682183240376,-0.30785969131883767,0.01713097388060697,0.01713097388060697,0.5,1.310011560530549,False,1,1,False,False,False,False
ETHUSDT,dimb_0.2_15m,1h,65055,0.12432276424413771,-0.3300140440738637,-1.2055073315152776,-1.3298300957594154,1.3298300957594154,0.75,0.6449093888404351,True,1,1,False,False,False,False
ETHUSDT,dimb_0.2_15m,2h,65043,-0.7132765864581376,-0.4535144501958203,-1.259161596145651,-0.5458850096875134,0.5458850096875134,0.5,1.1362621197692313,False,1,1,False,False,False,False
ETHUSDT,dimb_0.2_15m,4h,65019,-1.1138968490329282,-0.7002648876291445,-1.1041539675351646,0.00974288149776359,0.00974288149776359,0.5,2.8168383546959186,False,1,1,False,False,False,False
ETHUSDT,dimb_0.2_1h,15m,65055,0.2560411477028267,-0.17900611184070034,-0.3053181928801331,-0.5613593405829598,0.5613593405829598,0.75,1.0805580946683881,False,1,1,False,False,False,False
ETHUSDT,dimb_0.2_1h,30m,65052,0.5719741315074043,-0.42766055611688863,-0.5546850882024025,-1.1266592197098069,1.1266592197098069,0.5,2.675870842161059,False,1,1,False,False,False,False
ETHUSDT,dimb_0.2_1h,1h,65046,0.9803306250616135,-1.7855426058783286,-1.4038853936707343,-2.3842160187323476,2.3842160187323476,0.75,2.7231205402115615,False,1,1,False,False,False,False
ETHUSDT,dimb_0.2_1h,2h,65034,-0.9533039475786582,-2.2583386026591787,-1.4622551558685015,-0.5089512082898433,0.5089512082898433,0.75,2.146028196590863,False,1,1,False,False,False,False
ETHUSDT,dimb_0.2_1h,4h,65010,-0.571421020629434,-3.670559808724217,-4.5275592810888865,-3.9561382604594524,3.9561382604594524,0.75,4.494018609772574,False,1,1,False,False,False,False
ETHUSDT,dimb_0.2_4h,15m,65019,0.2586210411553098,-0.43692481621723606,-0.020967073457919247,-0.2795881146132291,0.2795881146132291,0.5,1.3559294997972935,False,1,1,False,False,False,False
ETHUSDT,dimb_0.2_4h,30m,65016,0.4745461345788399,-0.08033757826648656,-0.7570260821119686,-1.2315722166908085,1.2315722166908085,0.75,1.372529906641442,False,1,1,False,False,False,False
ETHUSDT,dimb_0.2_4h,1h,65010,0.47366794474082613,-0.21115524173725383,-1.8257489954059793,-2.2994169401468056,2.2994169401468056,1.0,2.1733556394268483,True,1,1,False,False,False,False
ETHUSDT,dimb_0.2_4h,2h,64998,-0.09668982591225157,-1.1013497106358465,-2.8939760286207465,-2.797286202708495,2.797286202708495,1.0,4.406027485895561,False,1,1,False,False,False,False
ETHUSDT,dimb_0.2_4h,4h,64974,-0.5027348117971012,-2.626469397032588,-4.111084186894765,-3.608349375097664,3.608349375097664,0.75,3.87980381403985,False,1,1,False,False,False,False
ETHUSDT,dimb_1_15m,15m,371716,-0.43772092496024617,0.12573732885384253,0.3904545770871612,0.8281755020474073,0.8281755020474073,1.0,0.4584065960563946,True,4,4,False,False,False,False
ETHUSDT,dimb_1_15m,30m,371713,-0.5102647449422109,0.04459569227130413,0.4771789429279695,0.9874436878701803,0.9874436878701803,1.0,0.5021078485508118,True,4,4,False,False,False,False
ETHUSDT,dimb_1_15m,1h,371707,0.1062111998686624,0.11433335808971355,0.3078276113103458,0.2016164114416834,0.2016164114416834,0.5,0.46202519963134264,False,1,4,False,False,False,False
ETHUSDT,dimb_1_15m,2h,371695,0.2614300849714381,-0.18006045497894457,0.8908111375959374,0.6293810526244994,0.6293810526244994,0.5,0.872302807519074,False,3,4,False,False,False,False
ETHUSDT,dimb_1_15m,4h,371671,1.508286899541715,-0.7928779567192732,1.8012534742099047,0.29296657466818976,0.29296657466818976,0.5,0.718650561258438,False,3,4,False,False,False,False
ETHUSDT,dimb_1_1h,15m,371716,-0.08594209176647119,-0.14632432736423495,0.3966093298003165,0.48255142156678765,0.48255142156678765,0.5,0.31119653363671,True,4,4,False,False,False,False
ETHUSDT,dimb_1_1h,30m,371713,0.2072404263621028,-0.2998319236383614,0.508921071238582,0.30168064487647916,0.30168064487647916,0.5,0.9364285081734642,False,3,4,False,False,False,False
ETHUSDT,dimb_1_1h,1h,371707,0.4831319399997433,-0.5440245520877938,0.7697033629784997,0.28657142297875643,0.28657142297875643,0.5,1.380626283772373,False,3,4,False,False,False,False
ETHUSDT,dimb_1_1h,2h,371695,1.0955674724869608,-0.45816093249353307,0.9424261914462558,-0.153141281040705,0.153141281040705,0.75,1.4630517080443608,False,2,4,False,False,False,False
ETHUSDT,dimb_1_1h,4h,371671,3.0975853608954784,-2.0904611368375345,2.285835426404157,-0.8117499344913215,0.8117499344913215,0.5,1.7824983113081443,False,4,4,False,False,False,False
