sym,clip_usd,mode,median_bps_fine,n_fine,fillable,median_bps,p90_bps,p99_bps,round_trip_median
DOGEUSDT,250000,edge,20.0,3508,1.0,100.0,100.0,100.0,200.0
DOGEUSDT,1000000,uniform,8.516352806976352,3508,1.0,9.513341151213186,16.159801456928164,20.602304399953564,19.026682302426373
DOGEUSDT,1000000,edge,20.0,3508,1.0,100.0,100.0,100.0,200.0
DOGEUSDT,5000000,uniform,39.18447208715283,3508,0.999850864983098,46.14331809760733,89.25670186507767,124.70451090620976,92.28663619521465
DOGEUSDT,5000000,edge,81.312305759248,3508,0.999850864983098,100.0,140.984552667682,176.492565801622,200.0
ADAUSDT,1000,uniform,0.0218730807328249,3508,1.0,0.0195767929287661,0.03162227354885639,0.042285411167986425,0.0391535858575322
ADAUSDT,1000,edge,20.0,3508,1.0,100.0,100.0,100.0,200.0
ADAUSDT,10000,uniform,0.21873080732824904,3508,1.0,0.195767929287661,0.3162227354885639,0.42285411167986425,0.391535858575322
ADAUSDT,10000,edge,20.0,3508,1.0,100.0,100.0,100.0,200.0
ADAUSDT,50000,uniform,1.093654036641245,3508,1.0,0.978839646438305,1.5811136774428196,2.1142705583993213,1.95767929287661
ADAUSDT,50000,edge,20.0,3508,1.0,100.0,100.0,100.0,200.0
ADAUSDT,250000,uniform,5.468270183206226,3508,1.0,4.894198232191525,7.905568387214099,10.563346932385244,9.78839646438305
ADAUSDT,250000,edge,20.0,3508,1.0,100.0,100.0,100.0,200.0
ADAUSDT,1000000,uniform,20.380886608824888,3508,1.0,19.304717266725866,30.27007936757396,40.201192226255316,38.60943453345173
ADAUSDT,1000000,edge,63.42536149220001,3508,1.0,100.0,100.0,100.0,200.0
ADAUSDT,5000000,uniform,85.44181964654237,3507,0.9137588229446267,94.45229906746533,161.58329995138106,192.8868199428462,188.90459813493067
ADAUSDT,5000000,edge,136.54531251769998,3507,0.9137588229446267,144.961417455,212.8078566363,243.88732929337803,289.92283491
AVAXUSDT,1000,uniform,0.03785193344598085,3508,1.0,0.0278884283780385,0.04914913728869856,0.0756999577241608,0.055776856756077
AVAXUSDT,1000,edge,20.0,3508,1.0,100.0,100.0,100.0,200.0
