dir_mode,entry_mode,stop_mode,stop_atr_mult,rr,buffer_bps,one_trade,min_or_atr,max_or_atr,trend_mode,fade,min_rvol,use_datr,min_risk_bps,hour,or_bars,hold_bars,trades,pf,win_rate,avg_r,expectancy_r,trades_per_day,trades_per_week,avg_hold_h,max_dd,max_dd_r,sharpe,total_r,days_to_target,days_to_breach,p_target_first,long_share,pct_stop,pct_target,pct_time,label,window,cost_mult
0,2,2,0.05,5.0,0.0,1,0.0,0.0,0,0,0.0,1,10.0,0,1,96,2172,0.942,0.1593,-0.0485,-0.0485,0.991,6.94,1.54,-2.2241,-222.41,-0.421,-105.3,29.2,24.9,0.4596,0.508,0.841,0.158,0.001,IS_cost0x,IS,0.0
0,2,2,0.05,5.0,0.0,1,0.0,0.0,1,0,0.0,1,10.0,0,1,96,1180,0.954,0.1602,-0.039,-0.039,0.539,3.77,1.29,-1.23,-123.0,-0.248,-46.0,52.3,46.0,0.4679,0.536,0.84,0.16,0.0,IS_cost0x,IS,0.0
0,0,2,0.05,10.0,0.0,1,0.0,0.0,0,0,0.0,1,10.0,0,1,96,2175,0.683,0.0713,-0.2943,-0.2943,0.993,6.95,1.93,-6.7111,-671.11,-2.125,-640.04,26.6,13.5,0.3367,0.498,0.929,0.058,0.013,IS_cost0x,IS,0.0
0,0,2,0.05,10.0,0.0,1,0.0,0.0,1,0,0.0,1,10.0,0,1,96,2151,0.812,0.08,-0.173,-0.173,0.982,6.87,1.71,-4.1091,-410.91,-1.146,-372.14,19.0,13.5,0.416,0.513,0.92,0.07,0.01,IS_cost0x,IS,0.0
0,2,2,0.05,10.0,0.0,1,0.0,0.0,0,0,0.0,1,10.0,0,1,96,2172,1.045,0.1022,0.0406,0.0406,0.991,6.94,2.46,-1.7427,-174.27,0.244,88.27,12.5,13.3,0.5162,0.508,0.897,0.089,0.013,IS_cost0x,IS,0.0
0,2,2,0.05,10.0,0.0,1,0.0,0.0,1,0,0.0,1,10.0,0,1,96,1180,1.113,0.1034,0.1009,0.1009,0.539,3.77,2.08,-1.065,-106.5,0.432,119.09,20.5,23.8,0.5375,0.536,0.896,0.097,0.007,IS_cost0x,IS,0.0
0,0,2,0.1,0.0,0.0,1,0.0,0.0,0,0,0.0,1,10.0,0,1,96,2190,1.134,0.1457,0.1144,0.1144,1.0,7.0,6.72,-2.0633,-206.33,0.54,250.52,7.4,8.3,0.5279,0.5,0.851,0.0,0.149,IS_cost0x,IS,0.0
0,0,2,0.1,0.0,0.0,1,0.0,0.0,1,0,0.0,1,10.0,0,1,96,2166,1.294,0.15,0.2486,0.2486,0.989,6.92,6.26,-1.1671,-116.71,1.082,538.52,6.1,7.6,0.552,0.515,0.844,0.0,0.156,IS_cost0x,IS,0.0
0,2,2,0.1,0.0,0.0,1,0.0,0.0,0,0,0.0,1,10.0,0,1,96,2189,1.194,0.1476,0.1644,0.1644,0.999,6.99,6.63,-1.5433,-154.33,0.759,359.89,6.9,8.1,0.5384,0.509,0.849,0.0,0.151,IS_cost0x,IS,0.0
0,2,2,0.1,0.0,0.0,1,0.0,0.0,1,0,0.0,1,10.0,0,1,96,1191,1.306,0.1369,0.2627,0.2627,0.544,3.81,6.31,-0.668,-66.8,0.819,312.89,10.4,12.8,0.5513,0.538,0.858,0.0,0.142,IS_cost0x,IS,0.0
