hour,or_bars,hold_bars,entry_mode,stop_mode,stop_atr_mult,rr,fade,symbol,pf,trades,win_rate,avg_r,trades_per_day,max_dd,days_to_target
0,1,32,0,2,2.0,3.0,1,EURUSD,0.683,777,0.3012,-0.2639,0.71,-2.1328,216.8
0,1,32,1,0,0.0,0.0,0,EURUSD,0.5,778,0.2429,-0.4688,0.711,-3.6971,461.1
0,1,32,1,0,0.0,1.0,0,EURUSD,0.589,778,0.5141,-0.2535,0.711,-1.9788,2331.9
0,1,32,1,0,0.0,1.5,0,EURUSD,0.591,778,0.3895,-0.3124,0.711,-2.4566,1058.0
0,1,32,1,0,0.0,2.0,0,EURUSD,0.583,778,0.3239,-0.3481,0.711,-2.7447,683.5
0,1,32,1,0,0.0,3.0,0,EURUSD,0.573,778,0.2674,-0.3865,0.711,-3.0917,382.6
0,1,32,1,1,0.0,0.0,0,EURUSD,0.468,778,0.1761,-0.6046,0.711,-4.7086,199.5
0,1,32,1,1,0.0,1.0,0,EURUSD,0.43,778,0.5026,-0.3992,0.711,-3.119,10023.3
0,1,32,1,1,0.0,1.5,0,EURUSD,0.526,778,0.4049,-0.3955,0.711,-3.0907,1568.4
0,1,32,1,1,0.0,2.0,0,EURUSD,0.547,778,0.3303,-0.4215,0.711,-3.3076,730.1
0,1,32,1,1,0.0,3.0,0,EURUSD,0.535,778,0.2442,-0.4856,0.711,-3.816,377.8
0,1,32,1,2,1.0,0.0,0,EURUSD,0.472,709,0.1523,-0.6325,0.647,-4.4906,132.8
0,1,32,1,2,1.0,0.0,1,EURUSD,0.564,709,0.1608,-0.5187,0.647,-3.7414,54.3
0,1,32,1,2,1.0,1.0,0,EURUSD,0.392,709,0.4922,-0.445,0.647,-3.158,16288.4
0,1,32,1,2,1.0,1.0,1,EURUSD,0.404,709,0.5063,-0.4168,0.647,-2.9643,16128.2
0,1,32,1,2,1.0,1.5,0,EURUSD,0.474,709,0.3865,-0.4633,0.647,-3.2936,2722.5
0,1,32,1,2,1.0,1.5,1,EURUSD,0.469,709,0.3865,-0.4633,0.647,-3.3046,3067.9
0,1,32,1,2,1.0,2.0,0,EURUSD,0.514,709,0.3188,-0.4733,0.647,-3.3794,1008.3
0,1,32,1,2,1.0,2.0,1,EURUSD,0.492,709,0.3103,-0.4986,0.647,-3.5978,1279.8
0,1,32,1,2,1.0,3.0,0,EURUSD,0.535,709,0.2355,-0.5048,0.647,-3.6829,377.2
0,1,32,1,2,1.0,3.0,1,EURUSD,0.537,709,0.2355,-0.5032,0.647,-3.6804,377.5
0,1,32,1,2,2.0,0.0,0,EURUSD,0.56,777,0.2677,-0.3798,0.71,-3.032,304.5
0,1,32,1,2,2.0,0.0,1,EURUSD,0.739,777,0.2921,-0.2171,0.71,-1.7195,95.8
0,1,32,1,2,2.0,1.0,0,EURUSD,0.627,777,0.5045,-0.2256,0.71,-1.7651,1736.1
0,1,32,1,2,2.0,1.0,1,EURUSD,0.603,777,0.4916,-0.2464,0.71,-1.9328,2161.1
0,1,32,1,2,2.0,1.5,0,EURUSD,0.616,777,0.3835,-0.2837,0.71,-2.237,918.1
0,1,32,1,2,2.0,1.5,1,EURUSD,0.647,777,0.3925,-0.2578,0.71,-2.0516,708.7
0,1,32,1,2,2.0,2.0,0,EURUSD,0.598,777,0.3243,-0.3226,0.71,-2.5672,659.0
0,1,32,1,2,2.0,2.0,1,EURUSD,0.662,777,0.3372,-0.2671,0.71,-2.1073,401.5
0,1,32,1,2,2.0,3.0,0,EURUSD,0.569,777,0.2754,-0.3683,0.71,-2.8964,471.2
