dir_mode,entry_mode,stop_mode,stop_atr_mult,rr,buffer_bps,one_trade,min_or_atr,max_or_atr,trend_mode,fade,min_rvol,use_datr,min_risk_bps,min_break_rvol,max_entry_bars,be_at_r,min_atr_rank,max_atr_rank,dtrend_mode,fast_trend_mode,retest_bars,hour,minute,or_bars,hold_bars,trades,pf,win_rate,avg_r,expectancy_r,trades_per_day,trades_per_week,avg_hold_h,max_dd,max_dd_r,sharpe,total_r,days_to_target,days_to_breach,p_target_first,long_share,pct_stop,pct_target,pct_time,label,symbol,anchor,anchor_utc
0,1,0,0.0,2.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0.0,0,0.0,0.0,0.0,0,0,0,21,0,1,32,1093,0.46,0.3202,-0.4873,-0.4873,0.998,6.99,2.56,-5.3264,-532.64,-6.966,-532.64,1281.6,16.2,0.0125,0.536,0.586,0.249,0.166,,BTCUSDT,Sydney open,21:00
0,1,2,1.0,0.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0.0,0,0.0,0.0,0.0,0,0,0,21,0,1,32,1063,0.613,0.2117,-0.436,-0.436,0.97,6.79,3.08,-4.6343,-463.43,-2.938,-463.43,27.3,11.2,0.2904,0.533,0.727,0.0,0.273,,BTCUSDT,Sydney open,21:00
0,1,2,1.0,0.0,0.0,1,0.0,0.0,0,1,0.0,0,10.0,0.0,0,0.0,0.0,0.0,0,0,0,21,0,1,32,1063,0.612,0.2493,-0.4168,-0.4168,0.97,6.79,3.34,-4.4954,-449.54,-3.74,-443.05,70.2,15.4,0.1802,0.467,0.693,0.0,0.307,,BTCUSDT,Sydney open,21:00
0,1,2,1.0,1.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0.0,0,0.0,0.0,0.0,0,0,0,21,0,1,32,1063,0.323,0.4534,-0.5163,-0.5163,0.97,6.79,1.03,-5.4944,-549.44,-9.269,-548.85,29009.2,15.9,0.0005,0.533,0.503,0.481,0.016,,BTCUSDT,Sydney open,21:00
0,1,2,1.0,1.0,0.0,1,0.0,0.0,0,1,0.0,0,10.0,0.0,0,0.0,0.0,0.0,0,0,0,21,0,1,32,1063,0.347,0.4657,-0.4888,-0.4888,0.97,6.79,1.03,-5.2009,-520.09,-8.678,-519.64,17556.7,16.8,0.001,0.467,0.491,0.493,0.016,,BTCUSDT,Sydney open,21:00
0,1,2,1.0,2.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0.0,0,0.0,0.0,0.0,0,0,0,21,0,1,32,1063,0.463,0.3208,-0.5243,-0.5243,0.97,6.79,1.9,-5.5986,-559.86,-7.142,-557.31,1250.3,15.5,0.0123,0.533,0.639,0.291,0.071,,BTCUSDT,Sydney open,21:00
0,1,2,1.0,2.0,0.0,1,0.0,0.0,0,1,0.0,0,10.0,0.0,0,0.0,0.0,0.0,0,0,0,21,0,1,32,1063,0.519,0.3471,-0.4531,-0.4531,0.97,6.79,1.96,-4.8406,-484.06,-6.003,-481.64,638.6,17.7,0.0269,0.467,0.618,0.316,0.066,,BTCUSDT,Sydney open,21:00
0,1,2,2.0,0.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0.0,0,0.0,0.0,0.0,0,0,0,21,0,1,32,1090,0.621,0.3092,-0.2721,-0.2721,0.995,6.97,4.82,-2.9661,-296.61,-3.054,-296.61,103.8,23.0,0.1812,0.536,0.494,0.0,0.506,,BTCUSDT,Sydney open,21:00
0,1,2,2.0,0.0,0.0,1,0.0,0.0,0,1,0.0,0,10.0,0.0,0,0.0,0.0,0.0,0,0,0,21,0,1,32,1090,0.775,0.3761,-0.1441,-0.1441,0.995,6.97,5.09,-1.6363,-163.63,-1.834,-157.11,100.1,35.8,0.2635,0.464,0.439,0.0,0.561,,BTCUSDT,Sydney open,21:00
0,1,2,2.0,1.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0.0,0,0.0,0.0,0.0,0,0,0,21,0,1,32,1090,0.473,0.4275,-0.3189,-0.3189,0.995,6.97,3.23,-3.49,-349.0,-6.341,-347.6,6435.4,25.1,0.0039,0.536,0.428,0.372,0.199,,BTCUSDT,Sydney open,21:00
0,1,2,2.0,1.0,0.0,1,0.0,0.0,0,1,0.0,0,10.0,0.0,0,0.0,0.0,0.0,0,0,0,21,0,1,32,1090,0.607,0.489,-0.2102,-0.2102,0.995,6.97,3.23,-2.3035,-230.35,-4.191,-229.14,1470.1,37.2,0.0247,0.464,0.373,0.428,0.199,,BTCUSDT,Sydney open,21:00
0,1,2,2.0,2.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0.0,0,0.0,0.0,0.0,0,0,0,21,0,1,32,1090,0.505,0.3413,-0.3387,-0.3387,0.995,6.97,4.23,-3.6918,-369.18,-5.666,-369.18,1511.0,23.3,0.0152,0.536,0.476,0.149,0.375,,BTCUSDT,Sydney open,21:00
0,1,2,2.0,2.0,0.0,1,0.0,0.0,0,1,0.0,0,10.0,0.0,0,0.0,0.0,0.0,0,0,0,21,0,1,32,1090,0.709,0.4009,-0.1798,-0.1798,0.995,6.97,4.34,-1.9822,-198.22,-2.895,-196.03,302.0,38.9,0.1141,0.464,0.426,0.19,0.384,,BTCUSDT,Sydney open,21:00
0,0,0,0.0,0.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0.0,0,0.0,0.0,0.0,0,0,0,21,0,1,96,1095,0.67,0.1388,-0.4525,-0.4525,1.0,7.0,6.33,-4.9554,-495.54,-2.333,-495.54,12.3,7.2,0.3711,0.542,0.854,0.0,0.146,,BTCUSDT,Sydney open,21:00
0,0,0,0.0,1.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0.0,0,0.0,0.0,0.0,0,0,0,21,0,1,96,1095,0.306,0.4594,-0.5171,-0.5171,1.0,7.0,1.15,-5.6622,-566.22,-9.463,-566.22,30626.7,15.5,0.0005,0.542,0.462,0.535,0.003,,BTCUSDT,Sydney open,21:00
0,0,0,0.0,2.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0.0,0,0.0,0.0,0.0,0,0,0,21,0,1,96,1095,0.464,0.3479,-0.5505,-0.5505,1.0,7.0,2.32,-6.0276,-602.76,-7.118,-602.76,806.7,14.3,0.0174,0.542,0.647,0.342,0.011,,BTCUSDT,Sydney open,21:00
0,0,2,1.0,0.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0.0,0,0.0,0.0,0.0,0,0,0,21,0,1,96,1065,0.719,0.1549,-0.3535,-0.3535,0.972,6.81,6.89,-3.7804,-378.04,-1.997,-376.48,15.4,9.3,0.3757,0.539,0.839,0.0,0.161,,BTCUSDT,Sydney open,21:00
0,0,2,1.0,0.0,0.0,1,0.0,0.0,0,1,0.0,0,10.0,0.0,0,0.0,0.0,0.0,0,0,0,21,0,1,96,1065,0.507,0.1146,-0.6543,-0.6543,0.972,6.81,5.85,-6.9682,-696.82,-4.291,-696.82,32.0,9.0,0.2197,0.461,0.878,0.0,0.122,,BTCUSDT,Sydney open,21:00
