hour,minute,or_bars,hold_bars,entry_mode,stop_mode,stop_atr_mult,rr,fade,min_break_rvol,min_atr_rank,fast_trend_mode,symbol,window,pf,trades,win_rate,avg_r,trades_per_day,avg_hold_h,max_dd,sharpe,days_to_target
13,0,1,16,0,2,1.0,0.0,1,2.0,0.5,2,BTCUSDT,IS,0.478,274,0.146,-0.6227,0.375,0.71,-1.8556,-3.191,189.9
13,0,1,16,0,2,1.0,0.0,1,2.0,0.7,0,BTCUSDT,IS,0.393,157,0.1401,-0.6962,0.215,0.77,-1.093,-3.227,1007.9
13,0,1,16,0,2,1.0,0.0,1,2.0,0.7,2,BTCUSDT,IS,0.431,153,0.1634,-0.6356,0.209,0.83,-0.9998,-2.89,827.0
13,0,1,16,0,2,1.0,1.0,0,0.0,0.0,0,BTCUSDT,IS,0.213,708,0.4082,-0.703,0.969,0.31,-4.9796,-12.75,411910.1
13,0,1,16,0,2,1.0,1.0,0,0.0,0.0,2,BTCUSDT,IS,0.295,436,0.4633,-0.5357,0.596,0.27,-2.3379,-7.322,39161.7
13,0,1,16,0,2,1.0,1.0,0,0.0,0.5,0,BTCUSDT,IS,0.356,312,0.4647,-0.4833,0.427,0.36,-1.5205,-5.686,36501.6
13,0,1,16,0,2,1.0,1.0,0,0.0,0.5,2,BTCUSDT,IS,0.542,199,0.5578,-0.2768,0.272,0.28,-0.5708,-2.714,7477.8
13,0,1,16,0,2,1.0,1.0,0,0.0,0.7,0,BTCUSDT,IS,0.457,170,0.4941,-0.3678,0.233,0.4,-0.6347,-3.285,21087.6
13,0,1,16,0,2,1.0,1.0,0,0.0,0.7,2,BTCUSDT,IS,0.722,105,0.5905,-0.1464,0.144,0.31,-0.1805,-1.096,4019.7
13,0,1,16,0,2,1.0,1.0,0,1.5,0.0,0,BTCUSDT,IS,0.368,585,0.5231,-0.4348,0.8,0.09,-2.55,-7.281,16970.5
13,0,1,16,0,2,1.0,1.0,0,1.5,0.0,2,BTCUSDT,IS,0.419,212,0.5283,-0.3901,0.29,0.09,-0.8335,-3.807,17980.2
13,0,1,16,0,2,1.0,1.0,0,1.5,0.5,0,BTCUSDT,IS,0.542,292,0.5651,-0.2742,0.399,0.15,-0.8096,-3.332,5731.0
13,0,1,16,0,2,1.0,1.0,0,1.5,0.5,2,BTCUSDT,IS,0.547,129,0.5426,-0.2749,0.176,0.15,-0.3634,-2.186,11428.5
