signal,tf,L,k,mode,H,tag,trades,span_days,tpd,pf,pf_0x,pf_2x,pf_3x,win,avg_r,total_r,max_dd_r,hold_h,sharpe,r_per_day,est_days
mom,4h,12,1,longonly,1,null0,13164,2193,6.002735978112175,0.8613348187352969,1.0342547962828452,0.71764884377246,0.5983690114644784,0.4720449711333941,-0.060476809982505604,-796.1167266097037,803.7931549330557,4.0,-2.617345122790888,-0.3630263231234399,inf
mom,4h,12,1,longonly,3,null0,4388,2193,2.0009119927040584,0.9371437987584623,1.0424344806694708,0.8425247099573312,0.7575425866573302,0.48837739288969917,-0.026064889228451044,-114.37273393444318,120.42516904499915,12.0,-0.6727557187338622,-0.052153549445710524,inf
mom,4h,12,1,longonly,6,null0,2194,2193,1.0004559963520292,1.0128004056203463,1.0916246179607978,0.9397281744057968,0.8720022099761849,0.49544211485870554,0.005137199542825173,11.27101579695843,47.085632462557015,24.0,0.09578656304352506,0.005139542087076347,9161.44505965937
mom,4h,12,2,spread,1,null0,13164,2193,6.002735978112175,0.6821689233794126,0.9986409655792226,0.46614511414148224,0.3184639322370447,0.43717714980249167,-0.07828632581129291,-1030.56119297986,1032.667141065959,4.0,-6.9526327197151225,-0.46993214454165977,inf
mom,4h,12,2,spread,3,null0,4388,2193,2.0009119927040584,0.8072896975283781,1.005223258730621,0.6477771583711572,0.5192881150311877,0.47174111212397446,-0.04398853741255144,-193.0217021662757,198.36696373209037,12.0,-2.274625804892787,-0.08801719205028531,inf
mom,4h,12,2,spread,6,null0,2194,2193,1.0004559963520292,0.841078629975412,0.9850290440458553,0.7180238611960422,0.6127176117506172,0.47174111212397446,-0.03489976996813168,-76.57009531008092,82.86069944201071,24.0,-1.3078831589239537,-0.03491568413592381,inf
mom,4h,12,2,longonly,1,null0,13164,2193,6.002735978112175,0.8015488812623598,1.0333540583413832,0.6218221735172581,0.4826567900273146,0.463081130355515,-0.06788208264396887,-893.5997359252062,895.4128366240716,4.0,-3.926760425219687,-0.407478219756136,inf
mom,4h,12,2,longonly,3,null0,4388,2193,2.0009119927040584,0.9116375084492834,1.0631062899918426,0.7818096481714955,0.670500631566669,0.4829079307201459,-0.027112508246815395,-118.96968618702596,126.92408001256264,12.0,-0.97552982301365,-0.05424974290334061,inf
mom,4h,12,2,longonly,6,null0,2194,2193,1.0004559963520292,0.9791494638131419,1.0954665275346571,0.8750656710302815,0.7818981219536324,0.4981768459434822,-0.00598859845002022,-13.138984999344363,37.332371019390024,24.0,-0.158391377268205,-0.005991329229067197,inf
mom,4h,24,1,spread,1,null0,13164,2193,6.002735978112175,0.7626091680371767,0.9895278550583164,0.5883183520650406,0.45467911030022407,0.4492555454269219,-0.07701951975518195,-1013.8849580572152,1017.7594062294837,4.0,-4.851444855355305,-0.4623278422513521,inf
mom,4h,24,1,spread,3,null0,4388,2193,2.0009119927040584,0.8456422243411601,0.980268903342595,0.7293438617029987,0.6289023209401325,0.47470373746581584,-0.04845014191456539,-212.59922272111294,216.21740715650435,12.0,-1.775219674007635,-0.09694447000506747,inf
mom,4h,24,1,spread,6,null0,2194,2193,1.0004559963520292,0.8866032922217474,0.9862282436812337,0.796989651284229,0.7164932086949333,0.4804010938924339,-0.03414947816020371,-74.92395508348693,83.16617920694952,24.0,-0.9048227589679679,-0.03416505019766846,inf
mom,4h,24,1,longonly,1,null0,13164,2193,6.002735978112175,0.8608142592204311,1.0315472462030046,0.7186192735482917,0.600315194874514,0.47037374658158615,-0.06145959839651137,-809.0541532916757,818.165666936412,4.0,-2.6311103750520397,-0.36892574249506416,inf
mom,4h,24,1,longonly,3,null0,4388,2193,2.0009119927040584,0.9389413246587378,1.0437070216244002,0.8448536048612258,0.7603763661701747,0.4845031905195989,-0.025443567885684516,-111.64637588238365,136.47481128452128,12.0,-0.6581525234245386,-0.050910340119645986,inf
mom,4h,24,1,longonly,6,null0,2194,2193,1.0004559963520292,0.9877263442943259,1.06440443545366,0.9166279380178025,0.8507112123622234,0.49179580674567,-0.0049987030888870975,-10.967154577018292,62.46934179812966,24.0,-0.09292610234943079,-0.005000982479260507,inf
mom,4h,24,2,spread,1,null0,13164,2193,6.002735978112175,0.6749474866634982,0.9848264442088132,0.4633335020281252,0.318452971713937,0.43011242783348524,-0.08120975147941469,-1069.0451684750149,1071.9377487336676,4.0,-7.1633500281147215,-0.48748069697903096,inf
