sym,feature,horizon,tail,n_trades,fade_bps,hi_bps,lo_bps,hit_rate,null_best,beats_null,clears_taker1x,clears_taker2x,clears_mixed,clears_maker2x
BTCUSDT,absorbq_30m,1h,0.1,42365,0.5357722749624926,-1.005676947572626,2.0749672788968665,0.49880797828396084,0.41733201961890437,True,False,False,False,False
BTCUSDT,absorbq_30m,1h,0.05,21283,0.6159666057084785,-1.6288381897199997,2.8517189200149997,0.4927876709110558,0.19180303241144986,True,False,False,False,False
BTCUSDT,absorbq_30m,1h,0.02,8701,0.8491026676527769,-1.139682951880053,2.794034637470973,0.4879898862199747,0.26241048303745823,True,False,False,False,False
BTCUSDT,absorbq_30m,1h,0.01,4503,0.951226176135097,-1.6989499644903394,3.562841552809634,0.48634243837441704,0.030093080466061156,True,False,False,False,False
BTCUSDT,absorbq_30m,2h,0.1,42365,0.30937195891707475,-1.6752749224289751,2.2911164884694775,0.4975333412014635,0.7174169327410238,False,False,False,False,False
BTCUSDT,absorbq_30m,2h,0.05,21283,0.12022751477752426,-2.6661635250372924,2.8953820531657217,0.49429121834327866,-0.4691622405300956,True,False,False,False,False
BTCUSDT,absorbq_30m,2h,0.02,8701,0.11099680943721557,-3.1420983593135934,3.292359713725914,0.49419606941730837,0.44603628005960705,False,False,False,False,False
BTCUSDT,absorbq_30m,2h,0.01,4503,-0.24153903339581717,-4.491762080869846,3.9468421443398314,0.495447479458139,-0.5296138119155087,True,False,False,False,False
BTCUSDT,absorbq_30m,4h,0.1,42361,-0.3372980145838986,-4.123506468166365,3.44408701594267,0.49326031019097755,0.8451506771053243,False,False,False,False,False
BTCUSDT,absorbq_30m,4h,0.05,21281,-1.3329612066627103,-5.46542526952654,2.7836102545148416,0.4876650533339599,0.4645198286882706,False,False,False,False,False
BTCUSDT,absorbq_30m,4h,0.02,8701,-2.535218682750317,-7.9672491282646565,2.7770329600327437,0.4868405930352833,2.3314396718392785,False,False,False,False,False
BTCUSDT,absorbq_30m,4h,0.01,4503,-3.825405060937925,-11.460125592503793,3.6982282671263254,0.49122807017543857,2.542851662148275,False,False,False,False,False
BTCUSDT,flow_1h,15m,0.1,125664,0.6581485967104174,0.30957227168552554,1.0067915011116868,0.5397727272727273,0.136200545094529,True,False,False,False,False
BTCUSDT,flow_1h,15m,0.05,63011,0.7119709947446136,0.40674192269253656,1.0178110292272453,0.5475869292663186,0.2088893978365137,True,False,False,False,False
BTCUSDT,flow_1h,15m,0.02,25385,0.715897157986937,0.6730872884286345,0.7584078928674748,0.5550915895213709,0.16920487489297584,True,False,False,False,False
BTCUSDT,flow_1h,15m,0.01,12945,0.4514382367551497,0.8902060460997807,0.013686093635853807,0.5507918115102356,0.5129575467067977,False,False,False,False,False
BTCUSDT,flow_1h,30m,0.1,125664,0.8127778117281835,0.12191713573297973,1.5037704446856635,0.5355551311433664,0.22849850985210796,True,False,False,False,False
BTCUSDT,flow_1h,30m,0.05,63011,0.7691895937614729,-0.012816490126051551,1.5527609818138604,0.54061989176493,0.3861897610555336,True,False,False,False,False
BTCUSDT,flow_1h,30m,0.02,25385,0.8894083307381895,0.4793817221770836,1.2965698715312226,0.5493401615127044,0.48951796584318424,True,False,False,False,False
BTCUSDT,flow_1h,30m,0.01,12945,0.430449403276978,0.3419878469932311,0.5187061874396978,0.5493240633449208,0.7802798654425045,False,False,False,False,False
BTCUSDT,flow_1h,1h,0.1,125660,0.5550872177391248,-0.6862498904237146,1.7967404793789414,0.5299379277415247,0.3982720793503898,True,False,False,False,False
BTCUSDT,flow_1h,1h,0.05,63007,0.545132304715264,-1.0848985778151485,2.178633542159231,0.5317663116796546,0.6433843826434749,False,False,False,False,False
BTCUSDT,flow_1h,1h,0.02,25384,0.4933813881766015,-0.9081718047335405,1.8852504823920122,0.5386069965332493,1.288138284752062,False,False,False,False,False
BTCUSDT,flow_1h,1h,0.01,12945,-0.24330415545506356,-2.060213163238481,1.5693990444399657,0.5371958285052144,1.2330466632932064,False,False,False,False,False
BTCUSDT,flow_1h,2h,0.1,125655,0.5938464718312384,-0.6677758919222042,1.855890601502168,0.5286856870001194,0.6542761825798451,False,False,False,False,False
BTCUSDT,flow_1h,2h,0.05,63003,0.480231337186715,-1.114463208321793,2.0785241574276676,0.5308636096693808,1.343970950077194,False,False,False,False,False
BTCUSDT,flow_1h,2h,0.02,25380,0.39125766036759724,-1.331664894863979,2.1028131487880324,0.5351851851851852,2.5867266740348422,False,False,False,False,False
BTCUSDT,flow_1h,2h,0.01,12942,-0.209683298775725,-3.891343925013563,3.4651562795209605,0.5368567454798331,2.1893303107713153,False,False,False,False,False
BTCUSDT,flow_1h,4h,0.1,125652,0.3996623537088389,-2.165314682623857,2.9656194175652075,0.5185671537261644,0.9719222760762991,False,False,False,False,False
BTCUSDT,flow_1h,4h,0.05,63001,0.23675353757394577,-2.809939363985777,3.290515107510667,0.5230393168362407,1.513985174389564,False,False,False,False,False
BTCUSDT,flow_1h,4h,0.02,25379,1.0089142521607364,-2.024025244441799,4.022080441229063,0.5300445250009851,1.6719148899488105,False,False,False,False,False
BTCUSDT,flow_1h,4h,0.01,12941,0.4033941280010047,-4.990217588620895,5.787844367031361,0.537670968240476,1.5666559563527762,False,False,False,False,False
BTCUSDT,absorb_1h,15m,0.1,126353,0.18511657695154152,-0.20808062449921885,0.5777105339809381,0.49399697672394005,0.18541249622042819,False,False,False,False,False
BTCUSDT,absorb_1h,15m,0.05,63344,0.09766051161249083,-0.5062992174615486,0.7028036894777372,0.49126989138671384,0.16168276901180276,False,False,False,False,False
BTCUSDT,absorb_1h,15m,0.02,25777,0.30259914305547736,-0.7044159233586631,1.3087551148728624,0.48516119020832527,0.34474541538125864,False,False,False,False,False
