symbol,feature,horizon,ic,null_best,beats_null,spread_bps,monotone,clears_1x,clears_2x,years,same_sign_years,n
XRPUSDT,cash_1h,4h,-0.00265,0.00829,False,0.63,0.5,False,False,7,0.57,695719
XRPUSDT,cash_1h,8h,-0.00233,0.00512,False,2.49,0.5,False,False,7,0.57,695671
XRPUSDT,cash_1h,12h,-0.00025,0.00518,False,2.15,0.75,False,False,7,0.43,695623
XRPUSDT,cash_1h,24h,-0.00067,0.00802,False,-1.75,0.75,False,False,7,0.29,695479
XRPUSDT,gap_4h,1h,-0.01614,0.00512,True,-1.46,0.75,False,False,7,1.0,695729
XRPUSDT,gap_4h,4h,-0.01701,0.01125,True,-4.76,0.5,False,False,7,1.0,695693
XRPUSDT,gap_4h,8h,-0.01941,0.00724,True,-7.56,0.5,False,False,7,0.71,695645
XRPUSDT,gap_4h,12h,-0.01928,0.01545,True,-8.48,0.5,False,False,7,0.71,695597
XRPUSDT,gap_4h,24h,-0.02985,0.02923,True,-29.93,0.5,True,True,7,1.0,695453
XRPUSDT,cash_4h,1h,0.0023,0.00359,False,-0.76,0.5,False,False,7,0.43,695728
XRPUSDT,cash_4h,4h,0.00414,0.00748,False,1.18,0.5,False,False,7,0.43,695692
XRPUSDT,cash_4h,8h,0.00428,0.01143,False,-0.35,0.5,False,False,7,0.43,695644
XRPUSDT,cash_4h,12h,0.00437,0.01757,False,-5.18,0.5,False,False,7,0.71,695596
XRPUSDT,cash_4h,24h,0.00437,0.01338,False,-6.08,0.5,False,False,7,0.57,695452
XRPUSDT,lead_1h,1h,-0.01365,0.0036,True,-3.97,0.75,False,False,7,0.86,695764
XRPUSDT,lead_1h,4h,-0.0101,0.0025,True,-7.42,0.5,False,False,7,0.71,695728
XRPUSDT,lead_1h,8h,-0.00718,0.00118,True,-5.63,0.75,False,False,7,0.71,695680
XRPUSDT,lead_1h,12h,-0.00374,0.00232,True,-5.25,0.75,False,False,7,0.71,695632
XRPUSDT,lead_1h,24h,-0.00404,0.00239,True,-6.12,0.75,False,False,7,0.71,695488
XRPUSDT,lead_4h,1h,-0.01912,0.00314,True,-5.88,0.5,False,False,7,0.71,695728
XRPUSDT,lead_4h,4h,-0.01404,0.00473,True,-8.55,0.5,False,False,7,0.57,695692
XRPUSDT,lead_4h,8h,-0.01104,0.00269,True,-4.13,0.75,False,False,7,0.86,695644
XRPUSDT,lead_4h,12h,-0.00581,0.00791,False,-1.29,0.75,False,False,7,0.57,695596
XRPUSDT,lead_4h,24h,-0.01203,0.00683,True,-8.57,0.75,False,False,7,0.86,695452
DOGEUSDT,ret_1h,1h,-0.05902,0.00291,True,-4.72,0.75,False,False,7,1.0,643811
DOGEUSDT,ret_1h,4h,-0.04056,0.00482,True,-11.55,0.5,False,False,7,1.0,643775
DOGEUSDT,ret_1h,8h,-0.02722,0.00694,True,-6.57,0.5,False,False,7,0.86,643727
DOGEUSDT,ret_1h,12h,-0.01666,0.00621,True,1.28,0.5,False,False,7,0.86,643679
DOGEUSDT,ret_1h,24h,-0.01323,0.00392,True,5.65,0.5,False,False,7,1.0,643535
DOGEUSDT,ret_4h,1h,-0.05844,0.00276,True,-2.05,0.75,False,False,7,1.0,643775
DOGEUSDT,ret_4h,4h,-0.04962,0.01193,True,-0.68,0.75,False,False,7,0.86,643739
DOGEUSDT,ret_4h,8h,-0.02778,0.01366,True,13.78,0.75,False,False,7,0.86,643691
DOGEUSDT,ret_4h,12h,-0.01198,0.01686,False,35.53,0.75,True,True,7,0.71,643643
DOGEUSDT,ret_4h,24h,-0.01568,0.00845,True,40.91,0.5,True,True,7,0.86,643499
DOGEUSDT,prem,1h,-0.0108,0.00298,True,-0.71,0.75,False,False,7,0.71,643823
DOGEUSDT,prem,4h,-0.00977,0.00588,True,6.53,0.75,False,False,7,0.57,643787
DOGEUSDT,prem,8h,-0.01183,0.0165,False,17.14,0.75,True,False,7,0.71,643739
DOGEUSDT,prem,12h,-0.00855,0.01828,False,28.57,0.5,True,True,7,0.71,643691
DOGEUSDT,prem,24h,-0.00047,0.01262,False,69.27,0.75,True,True,7,0.71,643547
DOGEUSDT,prem_z,1h,-0.02325,0.00245,True,-3.45,0.75,False,False,7,0.86,643679
DOGEUSDT,prem_z,4h,-0.02047,0.00393,True,-5.55,0.5,False,False,7,0.86,643643
DOGEUSDT,prem_z,8h,-0.02032,0.00447,True,-3.99,0.75,False,False,7,1.0,643595
DOGEUSDT,prem_z,12h,-0.01915,0.00534,True,-4.32,0.75,False,False,7,1.0,643547
DOGEUSDT,prem_z,24h,-0.01959,0.00582,True,-3.9,0.5,False,False,7,1.0,643403
DOGEUSDT,dprem_1h,1h,-0.01137,0.00329,True,-2.62,0.5,False,False,7,0.86,643811
DOGEUSDT,dprem_1h,4h,-0.00797,0.00221,True,-4.5,0.5,False,False,7,0.86,643775
DOGEUSDT,dprem_1h,8h,-0.00594,0.00223,True,-3.43,0.5,False,False,7,0.86,643727
DOGEUSDT,dprem_1h,12h,-0.00551,0.00181,True,-4.37,0.5,False,False,7,0.86,643679
DOGEUSDT,dprem_1h,24h,-0.00302,0.0009,True,-1.06,0.5,False,False,7,0.86,643535
DOGEUSDT,dprem_4h,1h,-0.01736,0.00306,True,-5.02,0.5,False,False,7,0.86,643775
DOGEUSDT,dprem_4h,4h,-0.01419,0.00275,True,-7.37,0.5,False,False,7,0.86,643739
