signal,look,win,q,band,hold,contrarian,stop_k,trades,tpd,avg_bps,win_rate,pf_0x,tot_0x,pf_1x,tot_1x,pf_2x,tot_2x,pf_3x,tot_3x,symbol,kind
prem_z,0,288,0.02,8640,96,True,0.0,4703,1.932,3.48,0.5041,1.0603,16373.2,0.8384,-49468.8,0.6653,-115310.8,0.5308,-181152.8,BTCUSDT,real
prem_z,0,288,0.02,8640,96,True,2.0,5426,2.229,2.8,0.474,1.0483,15174.4,0.8292,-60789.6,0.6596,-136753.6,0.5282,-212717.6,BTCUSDT,real
prem_z,0,288,0.02,8640,96,False,0.0,4703,1.932,-3.48,0.4959,0.9431,-16373.2,0.7456,-82215.2,0.5918,-148057.2,0.4725,-213899.2,BTCUSDT,real
prem_z,0,288,0.02,8640,96,False,2.0,5443,2.236,-5.35,0.4571,0.9115,-29114.4,0.7174,-105316.4,0.5682,-181518.4,0.4533,-257720.4,BTCUSDT,real
prem_z,0,288,0.02,8640,288,True,0.0,2045,0.84,3.89,0.5056,1.037,7949.1,0.9099,-20680.9,0.7988,-49310.9,0.702,-77940.9,BTCUSDT,real
prem_z,0,288,0.02,8640,288,True,2.0,2731,1.122,10.9,0.4328,1.1212,29776.8,0.9684,-8457.2,0.8396,-46691.2,0.7305,-84925.2,BTCUSDT,real
prem_z,0,288,0.02,8640,288,False,0.0,2045,0.84,-3.89,0.4944,0.9643,-7949.1,0.8462,-36579.1,0.743,-65209.1,0.6528,-93839.1,BTCUSDT,real
prem_z,0,288,0.02,8640,288,False,2.0,2738,1.125,-5.41,0.3996,0.9436,-14805.9,0.8142,-53137.9,0.7051,-91469.9,0.6126,-129801.9,BTCUSDT,real
prem_z,0,288,0.02,8640,576,True,0.0,1102,0.453,31.22,0.5227,1.2205,34404.6,1.116,18976.6,1.0207,3548.6,0.9338,-11879.4,BTCUSDT,real
prem_z,0,288,0.02,8640,576,True,2.0,1662,0.683,19.07,0.3881,1.1595,31695.3,1.0396,8427.3,0.9348,-14840.7,0.8427,-38108.7,BTCUSDT,real
prem_z,0,288,0.02,8640,576,False,0.0,1102,0.453,-31.22,0.4773,0.8193,-34404.6,0.7492,-49832.6,0.685,-65260.6,0.6264,-80688.6,BTCUSDT,real
prem_z,0,288,0.02,8640,576,False,2.0,1662,0.683,-4.44,0.3718,0.9649,-7378.5,0.8636,-30646.5,0.7751,-53914.5,0.6975,-77182.5,BTCUSDT,real
prem_z,0,288,0.02,8640,864,True,0.0,755,0.31,53.4,0.5338,1.3284,40318.6,1.2328,29748.6,1.1441,19178.6,1.0622,8608.6,BTCUSDT,real
prem_z,0,288,0.02,8640,864,True,2.0,1209,0.497,25.57,0.3805,1.1815,30917.5,1.0773,13991.5,0.9847,-2934.5,0.9018,-19860.5,BTCUSDT,real
prem_z,0,288,0.02,8640,864,False,0.0,755,0.31,-53.4,0.4662,0.7528,-40318.6,0.6985,-50888.6,0.648,-61458.6,0.6012,-72028.6,BTCUSDT,real
prem_z,0,288,0.02,8640,864,False,2.0,1300,0.534,-7.31,0.3208,0.9495,-9500.8,0.8618,-27700.8,0.7846,-45900.8,0.7162,-64100.8,BTCUSDT,real
prem_z,0,288,0.02,8640,96,True,0.0,4728,1.942,5.36,0.5137,1.0991,25343.8,0.8593,-40848.2,0.6748,-107040.2,0.5336,-173232.2,BTCUSDT,shuffled_s0
prem_z,0,288,0.02,8640,96,True,2.0,5123,2.105,3.24,0.4917,1.0594,16579.8,0.8266,-55142.2,0.6487,-126864.2,0.5131,-198586.2,BTCUSDT,shuffled_s0
prem_z,0,288,0.02,8640,96,False,0.0,4728,1.942,-5.36,0.486,0.9099,-25343.8,0.7115,-91535.8,0.5587,-157727.8,0.4418,-223919.8,BTCUSDT,shuffled_s0
prem_z,0,288,0.02,8640,96,False,2.0,5151,2.116,-3.86,0.4655,0.9325,-19891.8,0.7258,-92005.8,0.5685,-164119.8,0.4491,-236233.8,BTCUSDT,shuffled_s0
prem_z,0,288,0.02,8640,288,True,0.0,2038,0.837,10.51,0.5108,1.1063,21414.3,0.967,-7117.7,0.8458,-35649.7,0.7406,-64181.7,BTCUSDT,shuffled_s0
prem_z,0,288,0.02,8640,288,True,2.0,2474,1.016,5.74,0.4422,1.0625,14191.7,0.9173,-20444.3,0.7943,-55080.3,0.69,-89716.3,BTCUSDT,shuffled_s0
prem_z,0,288,0.02,8640,288,False,0.0,2038,0.837,-10.51,0.4892,0.9039,-21414.3,0.7901,-49946.3,0.6909,-78478.3,0.6049,-107010.3,BTCUSDT,shuffled_s0
prem_z,0,288,0.02,8640,288,False,2.0,2505,1.029,-0.65,0.4295,0.9931,-1627.4,0.8565,-36697.4,0.7411,-71767.4,0.6433,-106837.4,BTCUSDT,shuffled_s0
prem_z,0,288,0.02,8640,576,True,0.0,1104,0.454,7.4,0.5045,1.0502,8167.2,0.9573,-7288.8,0.8729,-22744.8,0.7963,-38200.8,BTCUSDT,shuffled_s0
prem_z,0,288,0.02,8640,576,True,2.0,1525,0.627,9.96,0.4098,1.0789,15184.6,0.9699,-6165.4,0.874,-27515.4,0.7893,-48865.4,BTCUSDT,shuffled_s0
prem_z,0,288,0.02,8640,576,False,0.0,1104,0.454,-7.4,0.4955,0.9522,-8167.2,0.868,-23623.2,0.7913,-39079.2,0.7216,-54535.2,BTCUSDT,shuffled_s0
prem_z,0,288,0.02,8640,576,False,2.0,1542,0.634,-8.5,0.3755,0.937,-13100.1,0.8435,-34688.1,0.7609,-56276.1,0.6878,-77864.1,BTCUSDT,shuffled_s0
