symbol,feature,horizon,q1_bps,q2_bps,q3_bps,q4_bps,q5_bps
XRPUSDT,lead_4h,1h,4.46,-0.79,-0.56,-0.08,-1.42
XRPUSDT,lead_4h,4h,8.27,-0.8,-0.7,-0.06,-0.28
XRPUSDT,lead_4h,8h,8.7,-0.97,-0.23,0.74,4.56
XRPUSDT,lead_4h,12h,11.37,-2.04,-0.35,0.01,10.08
XRPUSDT,lead_4h,24h,25.02,0.44,0.1,-3.93,16.45
DOGEUSDT,ret_1h,1h,4.52,-0.06,-0.63,-0.76,-0.2
DOGEUSDT,ret_1h,4h,13.83,-1.68,-2.02,-0.95,2.29
DOGEUSDT,ret_1h,8h,17.93,-2.07,-3.45,-0.84,11.35
DOGEUSDT,ret_1h,12h,21.47,-3.18,-5.43,-0.97,22.75
DOGEUSDT,ret_1h,24h,38.2,-3.35,-8.64,-0.28,43.85
DOGEUSDT,ret_4h,1h,3.29,-0.77,-0.49,-0.4,1.24
DOGEUSDT,ret_4h,4h,9.24,-0.55,-2.25,-3.57,8.55
DOGEUSDT,ret_4h,8h,10.14,-2.77,-3.37,-4.85,23.92
DOGEUSDT,ret_4h,12h,6.66,-4.98,-4.85,-4.2,42.19
DOGEUSDT,ret_4h,24h,25.88,-5.47,-10.0,-7.29,66.79
DOGEUSDT,prem,1h,2.49,-0.84,-0.47,-0.1,1.78
DOGEUSDT,prem,4h,3.96,-3.02,-1.96,2.0,10.49
DOGEUSDT,prem,8h,6.5,-5.82,-5.51,4.08,23.65
DOGEUSDT,prem,12h,8.44,-8.37,-9.04,6.55,37.01
DOGEUSDT,prem,24h,5.27,-17.19,-14.77,21.9,74.54
DOGEUSDT,prem_z,1h,2.95,0.7,0.39,-0.63,-0.5
DOGEUSDT,prem_z,4h,6.73,2.03,2.4,-0.65,1.18
DOGEUSDT,prem_z,8h,8.84,5.02,4.2,0.48,4.84
DOGEUSDT,prem_z,12h,11.85,8.06,5.84,1.74,7.53
DOGEUSDT,prem_z,24h,19.48,14.65,16.12,4.12,15.58
DOGEUSDT,dprem_1h,1h,3.24,-0.07,-0.82,-0.1,0.62
DOGEUSDT,dprem_1h,4h,9.48,-0.96,-0.68,-1.36,4.98
DOGEUSDT,dprem_1h,8h,16.19,-2.31,-0.8,-2.91,12.75
DOGEUSDT,dprem_1h,12h,23.93,-3.02,-1.13,-4.69,19.56
DOGEUSDT,dprem_1h,24h,39.38,-3.82,3.67,-7.77,38.32
DOGEUSDT,dprem_4h,1h,4.94,-0.89,-0.52,-0.56,-0.09
DOGEUSDT,dprem_4h,4h,11.08,-0.99,-0.73,-1.64,3.71
DOGEUSDT,dprem_4h,8h,17.11,-1.69,-1.34,-4.37,13.37
DOGEUSDT,dprem_4h,12h,23.64,-3.52,-0.49,-3.98,19.16
DOGEUSDT,dprem_4h,24h,40.19,-5.2,3.44,-6.76,38.23
DOGEUSDT,lev_1h,1h,1.09,-0.25,-0.77,0.3,2.5
DOGEUSDT,lev_1h,4h,7.04,-1.36,-0.78,-0.45,7.02
DOGEUSDT,lev_1h,8h,14.17,-3.14,-0.54,-2.16,14.58
DOGEUSDT,lev_1h,12h,22.22,-4.41,-0.51,-3.89,21.24
DOGEUSDT,lev_1h,24h,36.21,-6.42,4.77,-5.83,41.04
DOGEUSDT,lev_4h,1h,2.06,-0.71,-0.34,-0.85,2.7
DOGEUSDT,lev_4h,4h,8.63,-1.73,0.09,-1.29,5.72
DOGEUSDT,lev_4h,8h,15.9,-3.43,-0.06,-3.37,14.03
DOGEUSDT,lev_4h,12h,22.3,-4.38,1.04,-4.2,20.06
DOGEUSDT,lev_4h,24h,32.6,-7.88,5.73,-4.73,44.2
DOGEUSDT,gap,1h,0.14,0.83,1.28,0.7,-0.15
DOGEUSDT,gap,4h,1.27,3.68,4.77,3.52,-1.84
DOGEUSDT,gap,8h,1.48,6.6,11.61,5.52,-2.36
DOGEUSDT,gap,12h,1.32,8.4,18.81,9.51,-3.45
DOGEUSDT,gap,24h,7.94,16.73,30.88,15.27,-0.99
DOGEUSDT,gap_z,1h,-0.02,0.54,1.38,0.82,0.14
DOGEUSDT,gap_z,4h,1.14,3.61,3.77,2.82,0.28
DOGEUSDT,gap_z,8h,1.48,5.04,10.16,6.31,0.33
DOGEUSDT,gap_z,12h,1.43,5.56,16.51,11.49,0.02
DOGEUSDT,gap_z,24h,6.74,9.9,27.39,21.76,4.25
DOGEUSDT,gap_1h,1h,0.73,0.12,1.8,0.74,-0.51
DOGEUSDT,gap_1h,4h,3.75,3.45,5.34,2.12,-3.19
DOGEUSDT,gap_1h,8h,5.46,6.63,9.45,4.83,-3.46
DOGEUSDT,gap_1h,12h,2.81,7.23,22.53,7.63,-5.55
DOGEUSDT,gap_1h,24h,13.9,14.38,33.28,11.56,-3.31
DOGEUSDT,cash_1h,1h,0.19,-0.14,1.36,1.59,-0.13
DOGEUSDT,cash_1h,4h,0.86,3.54,4.53,3.64,-1.1
DOGEUSDT,cash_1h,8h,2.41,9.52,8.53,5.77,-3.31
DOGEUSDT,cash_1h,12h,2.54,14.72,17.14,6.81,-6.55
DOGEUSDT,cash_1h,24h,9.09,24.49,29.52,9.12,-2.38
DOGEUSDT,gap_4h,1h,1.44,1.12,0.33,1.3,-1.33
DOGEUSDT,gap_4h,4h,7.0,3.36,3.63,1.82,-4.39
DOGEUSDT,gap_4h,8h,7.58,5.97,7.65,8.91,-7.02
DOGEUSDT,gap_4h,12h,4.29,8.65,16.41,17.06,-11.59
DOGEUSDT,gap_4h,24h,24.44,13.63,31.93,18.23,-18.33
DOGEUSDT,cash_4h,1h,0.11,0.06,-0.02,2.83,-0.1
DOGEUSDT,cash_4h,4h,-1.43,3.21,2.4,5.77,1.48
DOGEUSDT,cash_4h,8h,-4.22,10.01,9.31,9.57,-1.6
DOGEUSDT,cash_4h,12h,-4.73,14.7,20.61,8.88,-4.64
DOGEUSDT,cash_4h,24h,-1.22,24.01,26.43,16.32,4.37
DOGEUSDT,lead_1h,1h,3.28,-0.14,-0.68,-0.02,0.43
DOGEUSDT,lead_1h,4h,10.68,-1.84,-1.17,-0.76,4.56
DOGEUSDT,lead_1h,8h,18.09,-2.67,-3.01,-2.78,13.29
DOGEUSDT,lead_1h,12h,26.66,-3.04,-4.29,-3.87,19.19
DOGEUSDT,lead_1h,24h,46.04,-4.28,-7.12,-6.75,41.88
DOGEUSDT,lead_4h,1h,4.61,0.03,-0.92,-0.78,-0.07
DOGEUSDT,lead_4h,4h,11.06,-0.84,-1.8,-1.31,4.3
DOGEUSDT,lead_4h,8h,15.29,-0.92,-2.65,-3.49,14.86
DOGEUSDT,lead_4h,12h,23.77,-1.15,-4.02,-4.52,20.73
DOGEUSDT,lead_4h,24h,45.32,-3.6,-7.71,-8.72,44.61
ADAUSDT,ret_1h,1h,3.77,-0.95,-0.92,-0.78,-0.01
ADAUSDT,ret_1h,4h,6.34,-2.44,-1.63,-1.85,4.05
ADAUSDT,ret_1h,8h,10.09,-4.22,-2.52,-1.36,7.02
ADAUSDT,ret_1h,12h,11.27,-4.92,-3.97,-2.36,13.6
ADAUSDT,ret_1h,24h,27.12,-5.18,-8.18,-3.74,17.12
ADAUSDT,ret_4h,1h,1.22,-1.25,-1.52,0.42,2.26
ADAUSDT,ret_4h,4h,3.21,-1.86,-3.59,-1.86,8.62
ADAUSDT,ret_4h,8h,7.42,-0.84,-5.33,-3.88,11.72
ADAUSDT,ret_4h,12h,6.68,-2.55,-6.31,-6.02,21.82
ADAUSDT,ret_4h,24h,33.82,-4.72,-9.86,-12.01,19.95
ADAUSDT,prem,1h,1.85,-0.97,-0.89,1.11,0.03
