symbol,feature,horizon,ic,null_best,beats_null,spread_bps,monotone,clears_1x,clears_2x,years,same_sign_years,n
ETHUSDT,gap_1h,24h,-0.0052,0.01379,False,-1.96,0.5,False,False,7,0.43,698169
ETHUSDT,cash_1h,1h,-0.00219,0.00506,False,-0.52,0.5,False,False,7,0.71,698447
ETHUSDT,cash_1h,4h,-0.00496,0.00698,False,-0.73,0.75,False,False,7,0.57,698411
ETHUSDT,cash_1h,8h,-0.00229,0.00493,False,-1.3,0.75,False,False,7,0.57,698363
ETHUSDT,cash_1h,12h,-0.00151,0.00434,False,-0.34,0.5,False,False,7,0.43,698315
ETHUSDT,cash_1h,24h,-0.00141,0.00429,False,0.4,0.5,False,False,7,0.29,698171
ETHUSDT,gap_4h,1h,0.00444,0.00815,False,1.14,0.5,False,False,7,0.86,698421
ETHUSDT,gap_4h,4h,0.00391,0.01119,False,3.57,0.5,False,False,7,0.71,698385
ETHUSDT,gap_4h,8h,-0.00405,0.00981,False,1.95,0.5,False,False,7,0.71,698337
ETHUSDT,gap_4h,12h,-0.00556,0.01507,False,0.83,0.5,False,False,7,0.71,698289
ETHUSDT,gap_4h,24h,-0.00542,0.01902,False,-2.48,0.5,False,False,7,0.43,698145
ETHUSDT,cash_4h,1h,0.00178,0.00399,False,-0.28,0.5,False,False,7,0.57,698420
ETHUSDT,cash_4h,4h,-0.0012,0.00863,False,-1.05,0.75,False,False,7,0.43,698384
ETHUSDT,cash_4h,8h,0.00142,0.00633,False,-0.81,0.75,False,False,7,0.57,698336
ETHUSDT,cash_4h,12h,0.00465,0.00791,False,0.98,0.75,False,False,7,0.71,698288
ETHUSDT,cash_4h,24h,0.01262,0.00734,True,9.43,0.75,False,False,7,1.0,698144
ETHUSDT,lead_1h,1h,-0.01256,0.00229,True,-2.17,0.75,False,False,7,1.0,698456
ETHUSDT,lead_1h,4h,-0.01193,0.00262,True,-5.51,0.75,False,False,7,0.86,698420
ETHUSDT,lead_1h,8h,-0.01083,0.00073,True,-6.47,0.75,False,False,7,0.86,698372
ETHUSDT,lead_1h,12h,-0.00797,0.00198,True,-7.54,0.75,False,False,7,0.86,698324
