symbol,feature,horizon,q1_bps,q2_bps,q3_bps,q4_bps,q5_bps
SOLUSDT,dprem_1h,1h,2.38,0.01,-0.59,-0.47,1.96
SOLUSDT,dprem_1h,4h,7.58,0.71,-0.23,0.55,4.6
SOLUSDT,dprem_1h,8h,12.6,2.38,0.71,1.39,9.28
SOLUSDT,dprem_1h,12h,18.16,2.86,0.45,1.88,16.23
SOLUSDT,dprem_1h,24h,34.89,4.28,0.42,5.1,34.73
SOLUSDT,dprem_4h,1h,2.87,0.33,0.01,-0.33,0.41
SOLUSDT,dprem_4h,4h,10.32,0.72,0.85,-0.79,2.05
SOLUSDT,dprem_4h,8h,17.11,1.54,1.16,-1.29,7.84
SOLUSDT,dprem_4h,12h,22.05,1.69,0.3,-0.49,16.08
SOLUSDT,dprem_4h,24h,43.44,3.73,-0.12,1.78,30.72
SOLUSDT,lev_1h,1h,1.89,0.04,-0.66,-0.46,2.48
SOLUSDT,lev_1h,4h,5.38,0.96,-0.4,0.53,6.75
SOLUSDT,lev_1h,8h,11.05,2.57,0.6,1.46,10.68
SOLUSDT,lev_1h,12h,18.69,3.25,0.45,1.66,15.53
SOLUSDT,lev_1h,24h,37.03,6.92,0.14,2.69,32.63
SOLUSDT,lev_4h,1h,1.32,0.48,-0.15,-0.3,1.93
SOLUSDT,lev_4h,4h,5.73,1.74,0.37,-1.53,6.85
SOLUSDT,lev_4h,8h,13.78,1.82,0.8,-1.53,11.48
SOLUSDT,lev_4h,12h,19.16,2.55,-0.16,-1.23,19.3
SOLUSDT,lev_4h,24h,34.19,6.15,-0.77,0.36,39.63
SOLUSDT,gap,1h,0.22,-0.58,1.67,0.86,1.14
SOLUSDT,gap,4h,1.86,1.48,4.23,3.61,2.06
SOLUSDT,gap,8h,4.31,4.44,8.09,4.67,4.92
SOLUSDT,gap,12h,5.92,6.51,12.47,7.31,7.47
SOLUSDT,gap,24h,13.83,14.62,20.81,15.25,15.11
SOLUSDT,gap_z,1h,-0.2,0.33,0.94,0.8,1.44
SOLUSDT,gap_z,4h,1.62,2.94,2.71,3.13,2.89
SOLUSDT,gap_z,8h,4.3,5.97,6.25,5.16,4.94
SOLUSDT,gap_z,12h,5.81,9.08,9.91,8.58,6.62
SOLUSDT,gap_z,24h,11.53,19.76,19.05,16.97,13.03
SOLUSDT,gap_1h,1h,0.73,0.04,0.32,1.6,0.58
SOLUSDT,gap_1h,4h,1.37,3.42,3.95,3.04,1.43
SOLUSDT,gap_1h,8h,3.27,7.92,8.11,6.54,0.53
SOLUSDT,gap_1h,12h,2.86,10.95,13.38,9.78,2.6
SOLUSDT,gap_1h,24h,12.54,14.38,20.2,17.93,14.36
SOLUSDT,cash_1h,1h,-0.24,0.09,1.02,2.12,0.3
SOLUSDT,cash_1h,4h,2.45,3.71,4.42,3.32,-0.7
SOLUSDT,cash_1h,8h,5.96,7.15,10.12,2.96,0.19
SOLUSDT,cash_1h,12h,9.65,11.22,13.53,4.74,0.45
SOLUSDT,cash_1h,24h,22.59,16.16,22.2,12.7,5.77
SOLUSDT,gap_4h,1h,0.49,1.09,0.91,0.17,0.63
SOLUSDT,gap_4h,4h,3.84,3.46,4.31,1.68,-0.14
SOLUSDT,gap_4h,8h,8.22,8.36,4.67,4.12,0.99
SOLUSDT,gap_4h,12h,7.19,10.27,11.82,3.59,6.75
SOLUSDT,gap_4h,24h,17.84,10.57,17.8,11.31,22.01
SOLUSDT,cash_4h,1h,0.37,0.6,1.35,0.69,0.27
SOLUSDT,cash_4h,4h,2.46,2.27,3.97,1.39,3.07
SOLUSDT,cash_4h,8h,5.36,5.78,6.93,-0.5,8.79
SOLUSDT,cash_4h,12h,10.97,7.17,10.05,3.05,8.38
SOLUSDT,cash_4h,24h,20.62,6.16,13.07,18.86,20.85
SOLUSDT,lead_1h,1h,2.81,-0.11,-0.3,0.05,0.84
SOLUSDT,lead_1h,4h,8.56,1.35,-0.54,0.05,3.8
SOLUSDT,lead_1h,8h,14.32,1.74,-0.47,0.79,9.98
SOLUSDT,lead_1h,12h,20.11,2.54,-0.24,1.35,15.81
SOLUSDT,lead_1h,24h,35.93,4.79,0.29,3.41,35.0
SOLUSDT,lead_4h,1h,3.69,0.12,-0.26,-0.3,0.05
SOLUSDT,lead_4h,4h,11.39,0.28,-0.38,0.18,1.68
SOLUSDT,lead_4h,8h,17.57,0.66,-0.64,-0.21,8.98
SOLUSDT,lead_4h,12h,23.64,1.15,-0.62,-0.93,16.37
SOLUSDT,lead_4h,24h,45.61,2.86,-1.32,-0.51,32.9
