sym,feature,horizon,n,q1,q5,spread,abs_spread,monotone,years_same_sign,years,null_1d,beats_1d,null_1w,beats_1w,null_1mo,beats_1mo,beats_all_nulls,clears_taker1x,clears_taker2x,clears_mixed,clears_maker2x
AVAXUSDT,size_z,1h,406959,0.5701232634268301,0.9859727474468636,0.4158494840200335,0.4158494840200335,0.5,3,6,4.306780841286539,False,2.9864897034785463,False,2.2775250207608857,False,False,False,False,False,False
AVAXUSDT,size_z,2h,406947,0.8974196487908461,2.048167728793006,1.1507480800021597,1.1507480800021597,0.5,3,6,6.1169546414699685,False,5.910140816444858,False,5.643667788572228,False,False,False,False,False,False
AVAXUSDT,size_z,4h,406923,0.9063189354293946,4.053778806844262,3.1474598714148674,3.1474598714148674,0.5,3,6,11.2918322787922,False,12.182558996589883,False,13.445439398999556,False,False,False,False,False,False
AVAXUSDT,size_z,8h,406875,0.3987993197266563,3.1954834142938693,2.796684094567213,2.796684094567213,0.75,3,6,25.27895417207181,False,19.806400475113172,False,27.095026873941052,False,False,False,False,False,False
AVAXUSDT,size_z,24h,406683,-10.40833746944444,-9.233591613325721,1.1747458561187187,1.1747458561187187,0.5,3,6,31.99354861627579,False,68.63546846255738,False,60.58669184648717,False,False,False,False,False,False
AVAXUSDT,crowd_z,1h,493675,1.3052307680288475,-3.3611465482747174,-4.666377316303565,4.666377316303565,1.0,5,6,3.308905716876921,True,3.265573423813466,True,3.3906665327965477,True,True,False,False,False,False
AVAXUSDT,crowd_z,2h,493663,1.6771991635905994,-6.378629894206042,-8.055829057796641,8.055829057796641,0.75,5,6,6.143404039451067,True,5.58779998813928,True,3.2422577900346683,True,True,False,False,False,True
AVAXUSDT,crowd_z,4h,493639,2.8765435624266846,-9.947317238368175,-12.82386080079486,12.82386080079486,0.75,4,6,10.491333366238008,True,7.851508697669987,True,16.381000489054173,False,False,False,False,True,True
AVAXUSDT,crowd_z,8h,493591,2.846754278647254,-18.63029824142564,-21.477052520072892,21.477052520072892,0.75,6,6,22.675587505408714,False,20.83050690384469,True,21.156030123769312,True,False,True,False,True,True
AVAXUSDT,crowd_z,24h,493399,0.8866005254331983,-32.93699188316624,-33.82359240859944,33.82359240859944,0.75,4,6,40.07140088214583,False,34.12503555379117,False,39.504272100583265,False,False,True,True,True,True
AVAXUSDT,disagree,1h,406956,-2.13629573972251,2.495892772812026,4.632188512534536,4.632188512534536,0.75,5,6,2.262611667269845,True,2.9490551063176857,True,3.7416869024108763,True,True,False,False,False,False
AVAXUSDT,disagree,2h,406944,-4.293645699290111,4.889746876916389,9.1833925762065,9.1833925762065,1.0,5,6,7.141418687248209,True,7.663448141380978,True,4.98498033774601,True,True,False,False,True,True
AVAXUSDT,disagree,4h,406920,-9.309396612896421,8.446076929422762,17.755473542319184,17.755473542319184,1.0,5,6,16.80912191620733,True,9.113378715197728,True,17.637851370762892,True,True,True,False,True,True
AVAXUSDT,disagree,8h,406872,-16.604096110852254,10.091913303872845,26.696009414725097,26.696009414725097,1.0,5,6,26.677912378978355,True,18.110705492364012,True,28.50574629885148,False,False,True,False,True,True
AVAXUSDT,disagree,24h,406680,-16.07778068868091,6.409640261893685,22.487420950574595,22.487420950574595,0.75,6,6,58.75420505395148,False,73.12746078440752,False,54.59954766921399,False,False,True,False,True,True
AVAXUSDT,dcrowd_4h,1h,493821,1.4852536044911193,-1.1925341352281362,-2.6777877397192555,2.6777877397192555,0.75,5,6,2.701261114602856,False,3.0501469508069037,False,2.682110195610448,False,False,False,False,False,False
AVAXUSDT,dcrowd_4h,2h,493809,2.4671250673893304,-1.968019607839734,-4.435144675229065,4.435144675229065,0.75,4,6,6.0560773674421915,False,6.0069125328437,False,8.306389216157415,False,False,False,False,False,False
AVAXUSDT,dcrowd_4h,4h,493785,2.6457881246618586,-4.671258841660237,-7.317046966322096,7.317046966322096,0.75,4,6,10.85614386930546,False,6.964232006122218,True,11.863819972627848,False,False,False,False,False,False
AVAXUSDT,dcrowd_4h,8h,493737,4.353448991614057,-10.564331264140106,-14.917780255754163,14.917780255754163,0.75,5,6,17.947996020320048,False,15.561055948755516,False,15.154716940215328,False,False,True,False,True,True
AVAXUSDT,dcrowd_4h,24h,493545,6.443694144934359,-13.988096306530657,-20.431790451465016,20.431790451465016,0.75,5,6,32.99129348579014,False,24.131750087881823,False,32.22885329988682,False,False,True,False,True,True
LINKUSDT,size_z,1h,407017,-0.17693726049788613,2.1406522156827448,2.317589476180631,2.317589476180631,0.5,4,6,2.0781775598562358,True,4.13871241978455,False,2.8737400925378767,False,False,False,False,False,False
LINKUSDT,size_z,2h,407005,0.11415474848209627,4.0920632821415595,3.977908533659463,3.977908533659463,0.5,4,6,5.998619904222547,False,5.980182644232473,False,7.820491676116234,False,False,False,False,False,False
LINKUSDT,size_z,4h,406981,-1.7532459077270592,7.765657941448401,9.51890384917546,9.51890384917546,0.75,4,6,14.123105990154293,False,12.697261560688041,False,15.505904813251203,False,False,False,False,True,True
LINKUSDT,size_z,8h,406933,-1.9571082389996772,12.23432364535102,14.191431884350697,14.191431884350697,0.75,5,6,21.19586295959106,False,17.02616297399181,False,25.74917991670285,False,False,True,False,True,True
LINKUSDT,size_z,24h,406741,-11.04277996966859,30.60273626832942,41.64551623799801,41.64551623799801,1.0,5,6,37.267145932627464,True,51.96349792320851,False,49.430930075792716,False,False,True,True,True,True
LINKUSDT,crowd_z,1h,493732,2.6676347434935166,-2.346357560926727,-5.013992304420244,5.013992304420244,0.75,6,6,3.20193670455,True,3.576266132862518,True,2.7268329573890044,True,True,False,False,False,False
LINKUSDT,crowd_z,2h,493720,4.2083055179013,-4.430858171222655,-8.639163689123954,8.639163689123954,0.75,6,6,5.054764972770581,True,6.605487491275421,True,6.378768029096641,True,True,False,False,False,True
LINKUSDT,crowd_z,4h,493696,6.578913646155175,-9.466773214327848,-16.045686860483023,16.045686860483023,0.75,6,6,12.88792203320045,True,12.652071238806098,True,9.767452982784356,True,True,True,False,True,True
LINKUSDT,crowd_z,8h,493648,11.858051201129678,-14.111988786396596,-25.970039987526274,25.970039987526274,0.75,6,6,19.779852841337778,True,14.706781806442025,True,15.420747292041817,True,True,True,False,True,True
LINKUSDT,crowd_z,24h,493456,4.07306283921357,-13.882119773321337,-17.955182612534905,17.955182612534905,0.75,4,6,20.753808636724656,False,53.606490520061264,False,42.50215491820137,False,False,True,False,True,True
LINKUSDT,disagree,1h,407014,-3.6099331359485136,1.9470838957222079,5.557017031670721,5.557017031670721,0.75,6,6,3.3439752499790147,True,3.892540181336832,True,3.5447550594201074,True,True,False,False,False,False
LINKUSDT,disagree,2h,407002,-5.767477892349178,3.419599158107241,9.18707705045642,9.18707705045642,0.75,6,6,6.143439921705992,True,5.563418844435178,True,5.526143063243156,True,True,False,False,True,True
LINKUSDT,disagree,4h,406978,-9.907964675096897,7.587477572513669,17.495442247610566,17.495442247610566,1.0,6,6,12.002514256084758,True,11.012743178306287,True,12.682551486275152,True,True,True,False,True,True
LINKUSDT,disagree,8h,406930,-17.059002132929,14.795828460684431,31.85483059361343,31.85483059361343,0.75,6,6,17.408591573924753,True,19.386820332176953,True,16.045906208970703,True,True,True,True,True,True
LINKUSDT,disagree,24h,406738,-15.177443123292235,26.911425667802632,42.08886879109487,42.08886879109487,0.75,6,6,39.5647726653487,True,45.7535463401788,False,74.21634700894293,False,False,True,True,True,True
