symbol,feature,horizon,ic,null_best,beats_null,spread_bps,monotone,clears_2x,same_sign_years,n
BNBUSDT,down_144,1h,0.00052,0.00525,False,-0.19,0.5,False,0.67,41108
BNBUSDT,down_144,4h,-0.00245,0.01633,False,0.08,0.5,False,0.5,41105
BNBUSDT,down_144,8h,-0.00803,0.00882,False,2.17,0.5,False,0.67,41101
BNBUSDT,down_144,24h,-0.00054,0.01331,False,4.91,0.5,False,0.5,41085
XRPUSDT,own,1h,0.01693,0.00494,True,-2.67,0.75,False,0.67,40997
XRPUSDT,own,4h,0.01402,0.00474,True,-7.26,0.75,False,0.67,40994
XRPUSDT,own,8h,0.00083,0.00391,False,-16.14,0.75,False,0.5,40990
XRPUSDT,own,24h,-0.00253,0.01567,False,-25.87,0.75,False,0.33,40974
XRPUSDT,sys,1h,0.00043,0.00811,False,-5.1,1.0,False,0.5,40997
XRPUSDT,sys,4h,-0.01231,0.01039,True,-17.73,1.0,False,0.67,40994
XRPUSDT,sys,8h,-0.02822,0.01295,True,-30.9,1.0,True,1.0,40990
XRPUSDT,sys,24h,-0.00655,0.0242,False,-18.03,0.5,False,0.5,40974
XRPUSDT,breadth,1h,0.00088,0.0083,False,-5.26,0.75,False,0.5,40997
XRPUSDT,breadth,4h,-0.01124,0.0064,True,-15.0,0.5,False,0.67,40994
XRPUSDT,breadth,8h,-0.02431,0.01244,True,-27.67,0.75,False,0.83,40990
XRPUSDT,breadth,24h,-0.00759,0.03023,False,-13.14,0.75,False,0.5,40974
XRPUSDT,disp,1h,-0.00563,0.0065,False,1.38,0.75,False,0.5,40997
XRPUSDT,disp,4h,-0.00754,0.02002,False,1.98,0.75,False,0.83,40994
XRPUSDT,disp,8h,-0.01465,0.01213,True,-2.77,0.5,False,0.67,40990
XRPUSDT,disp,24h,-0.03671,0.00912,True,-27.3,0.75,False,1.0,40974
XRPUSDT,sys_gap,1h,0.00145,0.00486,False,3.64,0.75,False,0.67,33891
XRPUSDT,sys_gap,4h,0.00526,0.01126,False,11.61,0.5,False,0.83,33888
XRPUSDT,sys_gap,8h,0.01381,0.01486,False,19.14,0.75,False,0.83,33884
XRPUSDT,sys_gap,24h,0.00565,0.02028,False,11.53,0.5,False,0.67,33868
XRPUSDT,idio,1h,0.02151,0.00323,True,1.5,0.75,False,0.83,40997
XRPUSDT,idio,4h,0.02982,0.01279,True,3.63,0.75,False,0.83,40994
XRPUSDT,idio,8h,0.02812,0.0119,True,0.11,0.75,False,0.83,40990
XRPUSDT,idio,24h,0.00844,0.00914,False,-21.3,0.75,False,0.83,40974
XRPUSDT,dsys_12,1h,-0.00089,0.00451,False,-1.41,0.75,False,0.5,40987
XRPUSDT,dsys_12,4h,-0.00156,0.00674,False,-2.08,0.75,False,0.67,40984
XRPUSDT,dsys_12,8h,-0.00776,0.00455,True,-4.75,0.75,False,0.5,40980
XRPUSDT,dsys_12,24h,-0.01429,0.00902,True,-14.51,0.75,False,0.83,40964
XRPUSDT,down_12,1h,0.00722,0.00207,True,-0.76,0.5,False,0.5,40987
XRPUSDT,down_12,4h,0.00522,0.00414,True,-0.39,0.75,False,0.67,40984
XRPUSDT,down_12,8h,0.00283,0.01154,False,2.23,0.5,False,0.67,40980
XRPUSDT,down_12,24h,-0.00992,0.00363,True,-8.42,0.75,False,0.83,40964
XRPUSDT,dsys_48,1h,0.00097,0.009,False,-2.15,0.75,False,0.5,40981
