symbol,tf,anchor,entry_level,stop_k,target_mode,rr,min_risk_bps,flow_mode,crowd_mode,revert,trades,tpd,win_rate,avg_r,pf_0x,pf_1x,pf_2x,maxdd_r_2x,total_r_2x,pf_3x
BTCUSDT,15m,D,1,2.0,1,1.0,100.0,1,0,1,6095,2.504,0.4935,-0.1009,0.9841,0.8106,0.6653,-1185.41,-1182.7,0.5418
BTCUSDT,15m,D,1,2.0,1,1.0,100.0,1,0,0,6313,2.594,0.4974,-0.0948,0.9934,0.8203,0.675,-1179.7,-1176.2,0.5515
BTCUSDT,15m,D,1,2.0,1,1.0,100.0,1,1,1,3369,1.384,0.4978,-0.0886,1.0089,0.8307,0.6815,-612.04,-611.2,0.5547
BTCUSDT,15m,D,1,2.0,1,1.0,100.0,1,1,0,3504,1.44,0.4954,-0.0971,0.9882,0.8157,0.6713,-663.71,-660.5,0.5487
BTCUSDT,15m,D,1,2.0,1,2.0,25.0,0,0,1,6805,2.796,0.349,-0.162,0.9663,0.7738,0.6256,-2071.07,-2062.4,0.508
BTCUSDT,15m,D,1,2.0,1,2.0,25.0,0,0,0,6951,2.856,0.3423,-0.1758,0.9414,0.7569,0.6144,-2189.08,-2187.6,0.5013
BTCUSDT,15m,D,1,2.0,1,2.0,25.0,0,1,1,5231,2.149,0.3454,-0.182,0.9698,0.7531,0.5913,-1806.5,-1804.8,0.4662
BTCUSDT,15m,D,1,2.0,1,2.0,25.0,0,1,0,5182,2.129,0.3315,-0.2306,0.8974,0.6956,0.5459,-2049.38,-2046.9,0.4305
BTCUSDT,15m,D,1,2.0,1,2.0,25.0,1,0,1,5926,2.435,0.3424,-0.1889,0.9205,0.7382,0.5978,-1945.96,-1943.2,0.4865
BTCUSDT,15m,D,1,2.0,1,2.0,25.0,1,0,0,6215,2.553,0.3443,-0.1782,0.9381,0.753,0.6103,-1979.17,-1972.7,0.497
BTCUSDT,15m,D,1,2.0,1,2.0,25.0,1,1,1,4218,1.733,0.3466,-0.1803,0.9606,0.752,0.595,-1417.61,-1417.6,0.4729
