symbol,tf,anchor,entry_level,stop_k,target_mode,rr,min_risk_bps,flow_mode,crowd_mode,revert,trades,tpd,win_rate,avg_r,pf_0x,pf_1x,pf_2x,maxdd_r_2x,total_r_2x,pf_3x
BTCUSDT,15m,D,1,1.0,2,0.0,100.0,1,1,0,525,0.216,0.2267,-0.2672,0.7805,0.679,0.5954,-207.18,-193.9,0.5254
BTCUSDT,15m,D,1,2.0,0,0.0,25.0,0,0,1,14373,5.905,0.5004,-0.2448,0.8754,0.3559,0.1403,-6516.74,-6516.7,0.0628
BTCUSDT,15m,D,1,2.0,0,0.0,25.0,0,0,0,10227,4.202,0.1753,-0.5718,0.2489,0.1088,0.0582,-8059.85,-8059.8,0.0352
BTCUSDT,15m,D,1,2.0,0,0.0,25.0,0,1,1,6499,2.67,0.5032,-0.2431,0.9719,0.3538,0.1238,-3109.31,-3108.8,0.0527
BTCUSDT,15m,D,1,2.0,0,0.0,25.0,0,1,0,5431,2.231,0.1449,-0.6467,0.2066,0.0782,0.0378,-4848.54,-4848.5,0.0218
BTCUSDT,15m,D,1,2.0,0,0.0,25.0,1,0,1,13161,5.407,0.4999,-0.2413,0.8728,0.3576,0.1425,-5868.78,-5868.8,0.0639
BTCUSDT,15m,D,1,2.0,0,0.0,25.0,1,0,0,9804,4.028,0.1766,-0.5671,0.2504,0.1094,0.0584,-7661.02,-7661.0,0.0354
BTCUSDT,15m,D,1,2.0,0,0.0,25.0,1,1,1,5868,2.411,0.5034,-0.2404,0.9672,0.3561,0.1268,-2769.31,-2768.8,0.0544
BTCUSDT,15m,D,1,2.0,0,0.0,25.0,1,1,0,5124,2.105,0.146,-0.6379,0.2097,0.0791,0.038,-4514.0,-4514.0,0.0216
BTCUSDT,15m,D,1,2.0,0,0.0,50.0,0,0,1,10863,4.463,0.5704,-0.1807,0.878,0.476,0.2307,-3539.75,-3539.8,0.1108
BTCUSDT,15m,D,1,2.0,0,0.0,50.0,0,0,0,7667,3.15,0.201,-0.4991,0.2464,0.1358,0.0842,-4962.73,-4962.7,0.0554
BTCUSDT,15m,D,1,2.0,0,0.0,50.0,0,1,1,4413,1.813,0.6007,-0.1505,1.0157,0.5344,0.2456,-1347.17,-1346.7,0.113
BTCUSDT,15m,D,1,2.0,0,0.0,50.0,0,1,0,3593,1.476,0.1709,-0.5553,0.1998,0.1039,0.0627,-2561.08,-2561.1,0.0405
BTCUSDT,15m,D,1,2.0,0,0.0,50.0,1,0,1,10048,4.128,0.5698,-0.1774,0.8815,0.4772,0.2315,-3223.27,-3223.3,0.1114
BTCUSDT,15m,D,1,2.0,0,0.0,50.0,1,0,0,7343,3.017,0.2018,-0.4943,0.2457,0.1355,0.0839,-4703.11,-4703.1,0.0553
BTCUSDT,15m,D,1,2.0,0,0.0,50.0,1,1,1,4029,1.655,0.6014,-0.1464,1.0252,0.5402,0.25,-1207.84,-1206.8,0.1161
BTCUSDT,15m,D,1,2.0,0,0.0,50.0,1,1,0,3401,1.397,0.1726,-0.5547,0.1988,0.1037,0.0622,-2417.52,-2417.5,0.04
